ssdl:pid,ssdl:notation
1893-Collec-BRU,
1897-Spirit-BRU,Nil
18xx-Funera-BRU,Nil
1903-Fillmo-BRU,
1904-Worldf-BRU,Round
1908-Concor-BRU,
1911-Golden-BRU,
1911-Mostpo-BRU,Round
1912-Messen-BRU,
1912-Oldtim-BRU,Seven-shape Aikin
1912-Somecu-BRU,Nil
1918-Darkey-BRU,Round
1918-Negros-BRU,Round
1918-Oldmel-BRU,
1920-Baptis-BRU,Nil
1923-Ohthel-BRU,Round
1923-Spirit-BRU,
1924-Deepri-BRU,Round
1924-Wereyo-BRU,Round
1925-OLordI-BRU,Round
1925-TenNeg-BRU,
1850-Baptis-EMU,
190x-Nation-MTS,
19xx-Tobacc-MTS,
19xx-Godlea-MTS,
1932-Fortys-MTS,Round
192x-Gospel-MTS,Round;Seven-shape Aikin
1928-Sparkl-MTS,Seven-shape Aikin
1928-Heaven-MTS,Seven-shape Aikin
1925-Womens-MTS,Round
1925-Winnin-MTS,Seven-shape Aikin
1925-Songs2-MTS,Round
1925-Songs1-MTS,Seven-shape Aikin
1925-Signal-MTS,Seven-shape Aikin
1926-Scelta-MTS,Seven-shape Aikin
1925-Musikl-MTS,Round
1925-Master-MTS,Round
1925-Living-MTS,Round
1925-Joybe2-MTS,Seven-shape Aikin
1925-Joybe1-MTS,Seven-shape Aikin
1925-Jehova-MTS,Round
1925-Instit-MTS,Round
1925-Heaven-MTS,Seven-shape Aikin
1925-Harbor-MTS,Seven-shape Aikin
1925-Aframe-MTS,Round
1924-Wonder-MTS,Round
1924-Songsf-MTS,Round
1924-Livin2-MTS,Seven-shape Aikin
1924-Livin1-MTS,Seven-shape Aikin
1924-Joytot-MTS,Seven-shape Aikin
1924-Hisvoi-MTS,Seven-shape Aikin
1924-Herald-MTS,Seven-shape Aikin
1924-Heave2-MTS,Seven-shape Aikin
1924-Heave1-MTS,Seven-shape Aikin
1924-Gospel-MTS,Seven-shape Aikin
1924-Easter-MTS,Round
1924-Collec-MTS,Round
1924-Christ-MTS,Seven-shape Aikin
1924-Allfor-MTS,Seven-shape Aikin
1923-Songla-MTS,Seven-shape Aikin
1923-Select-MTS,Seven-shape Aikin
1923-Newmel-MTS,Seven-shape Aikin
1923-Kingof-MTS,Round
1923-Junior-MTS,Round
1923-Callch-MTS,Seven-shape Aikin
1923-Awaken-MTS,Seven-shape Aikin
1922-Songso-MTS,Seven-shape Aikin
1922-Revive-MTS,Round
1922-Ninety-MTS,Seven-shape Aikin;Round
1922-Hymnsw-MTS,Round
1922-Hallel-MTS,Seven-shape Aikin
1922-Glorys-MTS,Seven-shape Aikin
1922-Beulah-MTS,Seven-shape Aikin
1927-Vaugha-MTS,Seven-shape Aikin
1921-Songsf-MTS,Round
1921-Reviva-MTS,Seven-shape Aikin
1921-Musict-MTS,Seven-shape Aikin
1921-Glorye-MTS,Seven-shape Aikin
1921-Glorio-MTS,Seven-shape Aikin
1921-Elmhur-MTS,Round
1921-Alexan-MTS,Round
1920-Songs3-MTS,Round
1920-Songs1-MTS,Round
1920-Songan-MTS,Seven-shape Aikin
1920-Practi-MTS,Seven-shape Aikin
1920-Newper-MTS,Round
1920-Highwa-MTS,Seven-shape Aikin
1920-Heaven-MTS,Seven-shape Aikin
1918-Harves-MTS,Seven-shape Aikin
1920-Evange-MTS,Seven-shape Aikin
1920-Bellso-MTS,Seven-shape Aikin
1919-Trutha-MTS,Seven-shape Aikin
1919-Songso-MTS,Seven-shape Aikin
1919-Crowns-MTS,Seven-shape Aikin
1919-Carols-MTS,Seven-shape Aikin
1914-Victor-MTS,Seven-shape Aikin
1918-Towner-MTS,Round
1919-Shinin-MTS,Seven-shape Aikin
1918-Reviv2-MTS,Round
1918-Reviv1-MTS,Seven-shape Aikin
1918-Planta-MTS,Round
1918-Heaven-MTS,Seven-shape Aikin
1918-Gladne-MTS,Seven-shape Aikin
1918-Beauti-MTS,Seven-shape Aikin
1917-Servic-MTS,Round
1917-Praise-MTS,Seven-shape Aikin
1917-Nearth-MTS,Seven-shape Aikin
1917-Modern-MTS,Seven-shape Aikin
1917-Guidin-MTS,Seven-shape Aikin
1917-Glorye-MTS,Seven-shape Aikin
1917-Garden-MTS,Seven-shape Aikin;Round
1917-Eureka-MTS,Seven-shape Aikin
1916-Praise-MTS,Seven-shape Aikin
1916-Gleane-MTS,Seven-shape Aikin
1916-Gladne-MTS,Seven-shape Aikin
1915-Soulwi-MTS,Seven-shape Aikin
1915-Songso-MTS,Round
1915-Immanu-MTS,Seven-shape Aikin
1915-Heaven-MTS,Seven-shape Aikin
1915-HamRam-MTS,Round
1915-Carolc-MTS,Seven-shape Aikin
1914-Tenles-MTS,Round;Seven-shape Aikin
1914-Praise-MTS,Round
1914-Perenn-MTS,Seven-shape Aikin
1914-Eureka-MTS,Seven-shape Aikin
1913-Worlde-MTS,Seven-shape Aikin
1913-Redemp-MTS,Seven-shape Aikin
1913-Planta-MTS,Round
1913-Newson-MTS,Seven-shape Aikin
1913-Gospel-MTS,Seven-shape Aikin
1912-Window-MTS,Seven-shape Aikin
1912-Sunnys-MTS,Seven-shape Aikin
1912-Songso-MTS,Round
1912-Songan-MTS,Round
1912-Newrev-MTS,Seven-shape Aikin
1912-Harpof-MTS,Seven-shape Aikin
1912-Eureka-MTS,Seven-shape Aikin
1912-Alexan-MTS,Round
190x-Vaugha-MTS,Seven-shape Aikin
1911-Songso-MTS,Seven-shape Aikin
1911-Quarte-MTS,Seven-shape Aikin
1911-Jewels-MTS,Round
1911-Crowni-MTS,Seven-shape Aikin
1910-Voices-MTS,Seven-shape Aikin
1913-Happyv-MTS,Seven-shape Aikin
1909-Window-MTS,Seven-shape Aikin
