ssdl:pid,ssdl:notation
1909-Unionh-EMU,Four-shape
1909-Vaugha-EMU,Seven-shape Aikin
1910-Assemb-EMU,Round
1910-Exulta-EMU,Round
1910-Missio-EMU,Nil
1910-Reviva-EMU,Seven-shape Aikin
1910-Songsf-EMU,Round
1910-Songst-EMU,Seven-shape Aikin
1910-Victor-EMU,
1911-Evange-EMU,
1911-Himnar-EMU,
1911-Newson-EMU,
1910-Psalms-EMU,
1911-Songso-EMU,
1911-Spirit-EMU,
1911-Youngp-EMU,
1912-Charmi-EMU,Seven-shape Aikin
1912-Evange-EMU,Round
1912-Hearth-EMU,Round
1912-Little-EMU,Round
1912-Newlyr-EMU,Seven-shape Aikin
1912-Sacred-EMU,
1912-Songs1-EMU,
1912-Songs2-EMU,Round
1912-Songs3-EMU,Round
1912-Songs4-EMU,Round
1912-Sunday-EMU,Round
1913-Loyalt-EMU,Round
1913-Ourcho-EMU,Round;Seven-shape Aikin
1913-Planta-EMU,Round
1913-Sacred-EMU,Round
1914-CrownH-EMU,Seven-shape Aikin
1914-Downat-EMU,Seven-shape Aikin
1914-Hymnso-EMU,Seven-shape Aikin
1914-Immanu-EMU,Round
1914-Newsac-EMU,Seven-shape Aikin
1914-Onehun-EMU,
1914-Praise-EMU,Seven-shape Aikin
1915-Crowns-EMU,Seven-shape Aikin
1915-Gospel-EMU,
1915-Herald-EMU,Round
1915-Praise-EMU,Round
1915-Select-EMU,
1915-Songs1-EMU,
1915-Songs2-EMU,
1915-Songs3-EMU,
1915-Sparkl-EMU,
1916-Childs-EMU,
1916-Happyg-EMU,
1916-Hispra-EMU,Round
1916-Montre-EMU,Round
1916-Newhar-EMU,Seven-shape Swan
1916-Select-EMU,Round
1916-Songso-EMU,Round;Seven-shape Aikin
1916-Treasu-EMU,Round
1917-Evange-EMU,Round
1917-Hymnar-EMU,
1917-Lifean-EMU,Round
1917-Missio-EMU,Nil
1917-Select-EMU,Round;Seven-shape Aikin
1917-Songso-EMU,Round
1917-Treasu-EMU,Seven-shape Aikin
1917-Wonder-EMU,Seven-shape Aikin
1918-Echoes-EMU,Round;Seven-shape Aikin
1918-Popula-EMU,Round
1918-Reviva-EMU,Seven-shape Aikin
1918-Rodehe-EMU,
1918-Temple-EMU,
1918-Tribut-EMU,Seven-shape Aikin
1918-Worldr-EMU,
1919-Founda-EMU,
1919-Hampto-EMU,
1919-Highwa-EMU,Round;Seven-shape Aikin
1919-Hymnal-EMU,
1919-Reviva-EMU,
1919-Sacred-EMU,Nil
191x-Canaan-EMU,Round
191x-Confer-EMU,Round
191x-Diadem-EMU,
191x-Favori-EMU,Round
191x-Gospel-EMU,
191x-Reviva-EMU,Round
1920-Songs1-EMU,Round
1920-Songs2-EMU,Round;Seven-shape Aikin
1921-Church-EMU,Seven-shape Aikin
1921-Gospel-EMU,Round
1921-Greats-EMU,Round
1921-Kingdo-EMU,Round
1921-Reviva-EMU,Round
1921-Songsa-EMU,Round
1922-Hymnso-EMU,Round;Seven-shape Aikin
1922-Junior-EMU,Round
1922-Marchi-EMU,
1922-Reviva-EMU,
1922-Songso-EMU,Seven-shape Aikin
1922-Tellin-EMU,
1922-Victo1-EMU,
1923-Bright-EMU,
1923-Chapel-EMU,
1923-Choice-EMU,
1923-Crownb-EMU,
1923-Evange-EMU,
1923-Gospel-EMU,
1923-Hosann-EMU,Round
1923-Method-EMU,
1923-Praise-EMU,
1923-Rodehe-EMU,
1923-Search-EMU,
1923-Servic-EMU,
1923-Songso-EMU,
1924-Baptis-EMU,
1924-Bestre-EMU,
1924-Christ-EMU,
1924-Harves-EMU,
1924-Praise-EMU,Seven-shape Aikin
1925-Colema-EMU,
1925-Faithi-EMU,
1925-Gloryc-EMU,
1925-Homego-EMU,
1925-Little-EMU,Round
1925-Sacred-EMU,Round
1925-Songs1-EMU,Round;Seven-shape Aikin
1868-Silver-UKY,
1876-NewHar-UKY,Seven-shape Funk
1879-Shinin-UKY,
1886-Royalp-UKY,
1895-Salvat-UKY,Round
1896-Praise-UKY,Round
1896-Reviva-UKY,Seven-shape Aikin;Round
1899-Sacred-UKY,
1911-Redemp-UKY,
1919-Praise-UKY,
1873-Sunshi-UKY,Round
1875-Starry-UKY,Seven-shape Funk
1883-Spirit-UKY,
1885-Zionso-UKY,Seven-shape Aikin
1896-Soulwi-UKY,Round
1903-Standa-UKY,
1910-Zionme-UKY,
1911-Spirit-UKY,
1912-Songcr-UKY,
1918-Victor-UKY,
1923-Songso-UKY,
1895-Voice1-UKY,Seven-shape Aikin
1897-Songsf-UKY,
1897-Unionh-UKY,
1901-Youngp-UKY,
1921-Worldw-UKY,
1923-Cokesb-UKY,
1891-Christ-UKY,
1916-Lyricd-EMU,
1903-Musica-EMU,
1851-Chahta-EMU,
1858-Sunday-EMU,
1862-Soldie-EMU,
1863-Soldie-EMU,
1864-Sabbat-EMU,
1864-Armyhy-EMU,
1878-Nation-EMU,
1877-Geschi-EMU,
1882-Collec-EMU,
1887-Nation-EMU,
1892-Hampto-EMU,
1895-Poems-EMU,Nil
1898-Africa-EMU,
1899-Hymnbo-EMU,
188x-Songse-EMU,
18xx-Jubile-EMU,
1900-Songso-EMU,
1901-Pearls-EMU,
1905-Negroe-EMU,Nil
1907-Calhou-EMU,
1909-Calhou-EMU,Round
1909-Religi-EMU,
1910-Burnin-EMU,
1913-Hymnal-EMU,
1914-AfroAm-EMU,
1915-Songso-EMU,Round
1916-Afterf-EMU,Round
191x-Praise-EMU,
1921-Univer-EMU,Nil
1923-Nation-EMU,Round;Seven-shape Aikin
192x-JRosam-EMU,
1928-Americ-EMU,Nil
19xx-Americ-EMU,
19xx-Himnos-EMU,
xxxx-Keepmy-EMU,
xxxx-Select-EMU,
189x-Songss-EMU,
19xx-Thisbo-EMU,
1906-Newpra-MTS,
1921-Salvat-MTS,
1893-Spirit-MTS,
1897-Riches-MTS,
1910-Tearsa-MTS,Round
1900-Gemsxx-MTS,
1905-Gleani-MTS,
1923-Cheerf-MTS,Seven-shape Aikin
1921-Gospe2-MTS,Round;Seven-shape Aikin
1899-Reviva-MTS,Round
1904-Resurr-MTS,Seven-shape Aikin
1881-Gospel-MTS,Round
1907-Reviva-MTS,
1900-Fillmo-MTS,
1902-Songsf-MTS,
1897-Psalms-MTS,
1899-Gladti-MTS,
1900-Bright-MTS,
1895-Showal-MTS,Seven-shape Aikin
1922-Echoes-MTS,Seven-shape Aikin
1925-Comple-MTS,
1906-Vaugha-MTS,
1909-Gospel-MTS,
xxxx-Worldf-MTS,
1912-Joyful-MTS,Seven-shape Aikin;Round
1919-Tiding-MTS,Seven-shape Aikin
1922-Bethle-MTS,Seven-shape Aikin
1921-Fromth-MTS,Seven-shape Aikin
1905-Search-MTS,
1892-Highwa-MTS,Seven-shape Aikin
1891-Childr-MTS,Seven-shape Aikin
1906-Oldsto-MTS,Round
1916-Tiding-MTS,Seven-shape Aikin
1900-Gloryc-MTS,
1903-Joyful-MTS,
1900-Sunday-MTS,
1923-Eightn-MTS,
1923-Christ-MTS,Round
1894-Shiloh-MTS,
1890-Gemsan-MTS,Round
1923-NewHar-MTS,
1886-Noteso-MTS,
1863-Church-MTS,
1877-Newcas-MTS,Round
1873-Triump-MTS,Round
1885-Noteso-MTS,Round
1892-Glorio-MTS,
1866-Christ-MTS,
1857-Church-MTS,Nil
1847-Collec-EMU,
1849-Sacred-EMU,
1855-Collec-EMU,
1859-Collec-EMU,
1860-Baptis-EMU,
1874-Fillmo-EMU,
1882-Sweetf-EMU,Seven-shape Aikin
1890-Gladev-EMU,Seven-shape Aikin
1891-Pearls-EMU,Seven-shape Aikin
1895-Gospel-EMU,Round
1895-Chris2-EMU,
1896-Classc-EMU,Round;Seven-shape Aikin;Tonic sol-fa
1899-Oldpla-EMU,Round
19xx-Gospe1-EMU,
19xx-Gospe2-EMU,
1901-Hymnal-EMU,Nil
1901-Junior-EMU,Round
1901-Showal-EMU,Round
1904-Pathwa-EMU,
1909-Songso-EMU,Round
191x-Hymnsf-EMU,
1910-Sacred-EMU,
1914-Newgos-EMU,
1916-Worshi-EMU,
1922-Victo2-EMU,Round;Seven-shape Aikin
1925-Excell-EMU,
192x-Songsf-EMU,
1911-Sacred-EMU,
1852-Psalms-UKY,
1860-Sabbat-UKY,
1860-Select-UKY,
1867-Taboro-UKY,
1874-Gospel-UKY,Round
1880-Popula-UKY,Nil
1889-Starof-UKY,Seven-shape Aikin
1889-Voiceo-UKY,Round
1899-Songso-UKY,Round
1908-Christ-UKY,
1909-Songso-UKY,Seven-shape Aikin
1925-Hymnso-UKY,
1853-Dyersp-UKY,Nil
1860-Sacred-UKY,
1866-Tefilo-UKY,
1905-Twenty-UKY,
1913-Eureka-UKY,
1919-Hampto-UKY,
191x-Americ-UKY,
1921-Elmhur-UKY,Round
1908-Bethan-MTS,Round
1909-Breado-MTS,Seven-shape Aikin
1910-Kingsp-MTS,Round
1913-Praise-MTS,Round
1921-Gospe1-MTS,
1922-Hispra-MTS,Round;Seven-shape Aikin
1924-Shinin-MTS,
1925-Blesse-MTS,
1875-Gospel-UMI,
1885-Epwort-UMI,
1891-Epwort-UMI,
1863-Soldie-UMI,Nil
1864-Fillmo-UMI,
1866-Tefilo-UMI,
1872-Golden-UMI,Round
1879-Lieder-UMI,
1866-Singin-UMI,
1854-Nation-UMI,
1878-Gospel-UMI,
1919-Shouty-UMI,
1860-Christ-UMI,
1905-Method-UMI,
1890-Evange-UMI,Round
1888-Glorio-UMI,
1851-Psalmi-UMI,
1867-Slave1-UMI,
1867-Slave2-UMI,
1873-Joyaco-UMI,Round
1885-Wondro-UMI,Round
1890-Noteso-UMI,Round
1909-Songso-UMI,
1918-Hampto-UMI,
1921-Gospel-UMI,
192X-Americ-UMI,
1854-Hymnsf-UKY,Nil
1854-Southe-UKY,Four-shape
1871-Israel-UKY,
1883-Gospel-UKY,Round
1886-Workan-UKY,
1892-Living-UKY,
1899-Notes2-UKY,
1899-Reviva-UKY,
1901-Malequ-UKY,
1910-Alexan-UKY,Round
1829-Chahta-UTL,
1829-Cherok-UTL,
1835-Shorts-UTL,
1835-Triump-UTL,
1854-Cherok-UTL,
1858-Chahta-UTL,
1866-Potewa-UTL,
1888-Cherok-UTL,
1892-Shirai-SBT,
1901-Gospe1-SBT,
1917-Synago-SBT,
1845-Southe-SBT,
1857-Sacred-SBT,
1872-Chocta-SBT,
1885-Wondro-SBT,
1895-Gospel-SBT,Round
1897-Riches-SBT,
1874-Fillmo-SBT,Numeral staff
1875-Gospel-SBT,Round
1879-Favori-SBT,
1887-Jubile-SBT,
1892-Glorio-SBT,
1897-Gantvo-SBT,Round;Numeral
1898-Fillmo-SBT,
1901-Gospe2-SBT,
1909-Minist-SBT,Round
1910-Reviva-SBT,
1922-Praise-SBT,
1925-Harbor-SBT,
1890-Gemsan-SBT,
1850-Rurals-BRU,
1858-Prayer-BRU,
1861-NeuerL-BRU,
1863-Collec-BRU,
1867-Dedica-BRU,
1869-Childs-BRU,
1873-Vocalc-BRU,Nil
1875-Singin-BRU,
1876-Psalte-BRU,
1877-Transl-BRU,Nil
1888-Reviva-BRU,
1891-Melodi-BRU,Round
1897-Poetic-BRU,
1898-Tedeum-BRU,
18xx-LibbyP-BRU,
1900-Crowni-BRU,Round
1904-Bestgo-BRU,
1906-Sonsof-BRU,
1911-Hymnfo-BRU,Nil
1913-Mensgo-BRU,
1914-Gladpr-BRU,
1915-Search-BRU,
1916-Hitthe-BRU,
1917-Hymnf1-BRU,
1918-Mother-BRU,Nil
1843-Church-BRU,
1867-Christ-BRU,
1868-Hymnst-BRU,
1872-Voiceo-BRU,
1875-Angels-BRU,
1876-Progra-BRU,Nil
1877-Twelft-BRU,
1880-Jubile-BRU,Nil
1880-Origin-BRU,Nil
1885-Fewmor-BRU,
1888-Masoni-BRU,Nil
1893-Conqu2-BRU,
1894-Bringt-BRU,
1900-Songsf-BRU,Round
1905-Mymoth-BRU,
1905-Withhe-BRU,Round
1910-Kingsm-BRU,Round
1912-Exhor1-BRU,
1914-PilotT-BRU,
1916-Deepri-BRU,
1917-Albumo-BRU,
1918-Childr-BRU,
1919-Dontbe-BRU,
1922-Gospel-BRU,
1861-Soldi2-BRU,
1844-Hymnbo-UKY,Nil
1851-Psalmi-UKY,
1854-Psalmi-UKY,
1854-Singer-UKY,
1865-Christ-UKY,
1867-Psalms-UKY,
1887-Gospel-UKY,
1899-Tearsa-UKY,
1908-Bookof-UKY,
1921-Temple-UKY,
185x-Annive-SBT,
1898-Lieder-SBT,
1845-Select-EMU,
1873-Vocalt-EMU,
1916-Newson-EMU,
192x-Gospel-EMU,
1849-Virgin-MTS,
1850-Timbre-MTS,
1854-Social-MTS,
1855-Sabbat-MTS,
1856-Congre-MTS,
191x-Reviva-MTS,
1861-Pilgri-MTS,
185x-Theres-MTS,
1924-Gospel-UKY,
1848-Hesper-EMU,
1851-Nakcok-EMU,
1875-Himnos-EMU,
1925-Mellow-EMU,
1925-Temple-EMU,
1881-Temper-MTS,Seven-shape Aikin
1892-WideAw-MTS,
1898-Aposto-MTS,Seven-shape Aikin
1903-Eureka-MTS,Seven-shape Aikin
1907-Bealls-MTS,Round
1908-Silver-MTS,Seven-shape Aikin
1870-Prizex-SBT,Round
1906-SongEv-SBT,
1907-Folks1-SBT,
1907-Folks2-SBT,
1915-Alexan-SBT,
1915-Gospel-SBT,Round
1857-Primit-UKY,
1876-Polish-UKY,Numeral staff
189x-Hallss-UKY,
1909-Gospel-UKY,Seven-shape Aikin
1925-NewSon-UKY,
1859-Oriol1-BRU,Round
1860-Deutsc-BRU,
1873-Bibles-BRU,Round
1873-Spirit-BRU,
1879-Corona-BRU,Round
1881-NoranI-BRU,
1884-Tuskeg-BRU,
1885-Harves-BRU,
1890-Positi-BRU,
1895-Gospel-BRU,
1899-Songsa-BRU,Seven-shape Aikin
18xx-Whispe-BRU,
1900-Recita-BRU,
1901-OLordo-BRU,Nil
1903-SweetH-BRU,
1906-Edenec-BRU,
1909-Cherok-BRU,
1909-Sevens-BRU,
1915-Hymnal-BRU,
1916-Diamon-BRU,
1916-MySavi-BRU,
1918-Newvic-BRU,
1923-UnionH-BRU,Round
1890-Singer-EMU,
1859-Narrat-UMI,
1891-Otterb-UMI,
1882-Songsf-UMI,
1879-Gospel-UMI,
1877-Grandc-UMI,
