ssdl:pid,ssdl:notation,ssdl:placeOfPublication,ssdl:spatialCoverageGettyUri,ssdl:dateOfPublication,ssdl:shortTitle
1897-Wonder-EMU,Round,"Baltimore, MD",http://vocab.getty.edu/page/tgn/7013352,1897,Wonderful Love
1898-Fillmo-EMU,Round,"Cincinnati, OH;New York, NY",http://vocab.getty.edu/page/tgn/7013604;http://vocab.getty.edu/page/tgn/7007567,1898,Fillmores' Sunday-School Songs No. I
1899-Fillmo-EMU,Round,"Cincinnati, OH;New York, NY",http://vocab.getty.edu/page/tgn/7013604;http://vocab.getty.edu/page/tgn/7007567,1898,Fillmores' Missionary Songs
1898-Gospel-EMU,Round,"Bridgewater, VA",http://vocab.getty.edu/page/tgn/2110776,1898,Gospel Songs and Hymns No. I
1898-Happyv-EMU,Round,"Waco, TX",http://vocab.getty.edu/page/tgn/7014575,1898,Happy Voices No. 1
1898-Hymnbo-EMU,Nil,"Nashville, TN",http://vocab.getty.edu/page/tgn/7013959,1898,"Hymn Book of the Methodist Episcopal Church, South"
190x-Missio-EMU,Round;Seven-shape Aikin,"Athens, GA",http://vocab.getty.edu/page/tgn/7013329,190X,Missionary Songs
1855-Liturg-BRU,Nil,"Baltimore, MD",http://vocab.getty.edu/page/tgn/7013352,1855,Liturgie und Gesangbuch
1859-Sacred-BRU,Round,"Boston, MA; New York, NY; Cincinnati, OH",http://vocab.getty.edu/page/tgn/7013445;http://vocab.getty.edu/page/tgn/7007567;http://vocab.getty.edu/page/tgn/7013604,1859,The Sacred Lyre
1861-Contra-BRU,Nil,,,,A Contraband Song
1864-Lieder-BRU,,"New York, NY; Cincinnati, OH",http://vocab.getty.edu/page/tgn/7007567;http://vocab.getty.edu/page/tgn/7013604,1864,Liedersammlung
1864-Singvo-BRU,,"Cincinnati, OH; Berlin",http://vocab.getty.edu/page/tgn/7013604;http://vocab.getty.edu/page/tgn/7003712,1864,Das Singvögelein
1872-Happym-BRU,Nil,"Providence, RI",http://vocab.getty.edu/page/tgn/7013952,1872,A Happy Meeting
1874-Songso-BRU,Nil,,,,Songs of the Tennesseeans
1875-Songfr-BRU,Nil,"Boston, MA",http://vocab.getty.edu/page/tgn/7013445,1875,A Song from Frederick Douglass
1888-Reviva-BRU,,,,,
1893-Collec-BRU,,"Chicago, IL",http://vocab.getty.edu/page/tgn/7013596,1893,A Collection of the Principle Melodies of the Synagogue
1897-Spirit-BRU,Nil,"Boston, MA",http://vocab.getty.edu/page/tgn/7013445,1897,Spirituals
18xx-Funera-BRU,Nil,"Boonsboro, MD",http://vocab.getty.edu/page/tgn/2187510,18xx,Funeral Hymn
1903-Fillmo-BRU,,,,,
1904-Worldf-BRU,Round,"Chicago, IL",http://vocab.getty.edu/page/tgn/7013596,1904?,Williams' Colored Singers
1908-Concor-BRU,,"Saint Louis, MO",http://vocab.getty.edu/page/tgn/7014444,1908,Concordia Chöre.
1911-Golden-BRU,,"Dallas, TX",http://vocab.getty.edu/page/tgn/7013503,1911,The Golden Sunshine
1911-Mostpo-BRU,Round,"New York City, NY",http://vocab.getty.edu/page/tgn/7007567,1911,The Most Popular Plantation Songs
1912-Messen-BRU,,,,,
1912-Oldtim-BRU,Seven-shape Aikin,Texarkana,,1912?,Old-Time Religion Songs
1912-Somecu-BRU,Nil,"College Station, TX",http://vocab.getty.edu/page/tgn/7013634,1912,Some Current Folk-Songs of the Negro
1918-Darkey-BRU,Round,"New York City, NY",http://vocab.getty.edu/page/tgn/7007567,1918,Darkey Spirituals
1918-Negros-BRU,Round,"Hollywood, CA;Boston, MA",http://vocab.getty.edu/page/tgn/7013837;http://vocab.getty.edu/page/tgn/7013445,1918,Negro Spirituals of the South
1918-Oldmel-BRU,,"Chicago, IL",http://vocab.getty.edu/page/tgn/7013596,1918,Old Melodies of the South
1920-Baptis-BRU,Nil,"[Honaker, VA]",http://vocab.getty.edu/page/tgn/2112302,1920,The Baptist Song Book
1923-Ohthel-BRU,Round,"Cincinnati, OH;New York, NY;London, England",http://vocab.getty.edu/page/tgn/7013604;http://vocab.getty.edu/page/tgn/7007567;http://vocab.getty.edu/page/tgn/7011781,1923?,"Oh, The Land I Am Bound For"
1923-Spirit-BRU,,"London, England",http://vocab.getty.edu/page/tgn/7011781,1923,Spirituals
1924-Deepri-BRU,Round,"New York, NY",http://vocab.getty.edu/page/tgn/7007567,1924,Deep River
1924-Wereyo-BRU,Round,New York,http://vocab.getty.edu/page/tgn/7007567,1924,Were You There?
1925-OLordI-BRU,Round,"Boston, MA",http://vocab.getty.edu/page/tgn/7013445,1925,"O Lord, I Done Done"
1925-TenNeg-BRU,,"Boston, MA;New York, NY",http://vocab.getty.edu/page/tgn/7013445;http://vocab.getty.edu/page/tgn/1002715,1925,Ten Negro Spirituals
1850-Baptis-EMU,,"Cincinnati, OH",http://vocab.getty.edu/page/tgn/7013604,1850,A Baptist Hymn-book
190x-Nation-MTS,,"Nashville, TN",http://vocab.getty.edu/page/tgn/7013959,1906?,National G. V. Hymnal
19xx-Tobacc-MTS,,"Raleigh, NC",http://vocab.getty.edu/page/tgn/7013949,19xx?,The Tobacco Tags' Favorite Hymns
19xx-Godlea-MTS,,"Chicago, IL",http://vocab.getty.edu/page/tgn/7013596,19xx?,God Leads His Dear Children Along
1932-Fortys-MTS,Round,"Chicago, IL",http://vocab.getty.edu/page/tgn/7013596,1932,Forty Spirituals
192x-Gospel-MTS,Round;Seven-shape Aikin,"Chicago, IL",http://vocab.getty.edu/page/tgn/7013596,192x?,Gospel Quintet Songs
1928-Sparkl-MTS,Seven-shape Aikin,"Jacksonville, TX; Chattanooga, TN",http://vocab.getty.edu/page/tgn/2105207;http://vocab.getty.edu/page/tgn/7017496,1928,Sparkling Gems
1928-Heaven-MTS,Seven-shape Aikin,"Athens, GA",http://vocab.getty.edu/page/tgn/7013329,1928?,Heavenly Echoes No. 12
1925-Womens-MTS,Round,"Dayton, OH; New York, New York; Chicago, IL",http://vocab.getty.edu/page/tgn/7013511,1925,Women's New Gospel Quartets
1925-Winnin-MTS,Seven-shape Aikin,"Asheville, NC",http://vocab.getty.edu/page/tgn/7013325,1925?,Winning Praise
1925-Songs2-MTS,Round,"Los Angeles, CA",http://vocab.getty.edu/page/tgn/7023900,1925,Songs of Realization
1925-Songs1-MTS,Seven-shape Aikin,"Athens, AL",http://vocab.getty.edu/page/tgn/2002521,1925,Songs of Love
1925-Signal-MTS,Seven-shape Aikin,"Knoxville, TN; Texarkana, AR; Abilene, TX",http://vocab.getty.edu/page/tgn/7013841;http://vocab.getty.edu/page/tgn/2102212,1925,Signal Bells
1926-Scelta-MTS,Seven-shape Aikin,"Hudson, NC",http://vocab.getty.edu/page/tgn/2075179,1925,Scelta Songs
1925-Musikl-MTS,Round,"Little Rock, AR",http://vocab.getty.edu/page/tgn/7013897,1925?,Musiklan
1925-Master-MTS,Round,"Knoxville, TN",http://vocab.getty.edu/page/tgn/7013841,1925,The Master's Praise
1925-Living-MTS,Round,"Chicago, IL",http://vocab.getty.edu/page/tgn/7013596,1925,Living Gospel Songs & Choruses
1925-Joybe2-MTS,Seven-shape Aikin,"Chattanooga, TN",http://vocab.getty.edu/page/tgn/7017496,1925,Joy Bells of Glory
1925-Joybe1-MTS,Seven-shape Aikin,"Waco, TX;Memphis, TN",http://vocab.getty.edu/page/tgn/7014575;http://vocab.getty.edu/page/tgn/7017750,1925,Joy Bells
1925-Jehova-MTS,Round,"Fort Worth, TX",http://vocab.getty.edu/page/tgn/7013934,1925,Jehovah's Praise
1925-Instit-MTS,Round,"New York, NY;Cincinnati, OH",http://vocab.getty.edu/page/tgn/7007567;http://vocab.getty.edu/page/tgn/7013604,1925,Institute Hymns and Songs
1925-Heaven-MTS,Seven-shape Aikin,"Lawrenceburg, TN",http://vocab.getty.edu/page/tgn/2100022,1925,Heavenly Praises
1925-Harbor-MTS,Seven-shape Aikin,"Dallas, TX;Pangburn, AR;Chattanooga, TN",http://vocab.getty.edu/page/tgn/7013503;http://vocab.getty.edu/page/tgn/2009163;http://vocab.getty.edu/page/tgn/7017496,1925,Harbor Bells
1925-Aframe-MTS,Round,"New York, NY",http://vocab.getty.edu/page/tgn/7007567,1925,Aframerican Hymn
1924-Wonder-MTS,Round,"Cincinnati, OH",http://vocab.getty.edu/page/tgn/7013604,1924,Wonder Hymns of Faith
1924-Songsf-MTS,Round,"Cincinnati, OH",http://vocab.getty.edu/page/tgn/7013604,1924,Songs for Soul-winning
1924-Livin2-MTS,Seven-shape Aikin,"Hudson, NC",http://vocab.getty.edu/page/tgn/2075179,1924,Living Words
1924-Livin1-MTS,Seven-shape Aikin,"Lawrenceburg, TN;Jacksonville, TX;Greenville, SC",http://vocab.getty.edu/page/tgn/2100022;http://vocab.getty.edu/page/tgn/2105207;http://vocab.getty.edu/page/tgn/7014143,1924,Living Songs
1924-Joytot-MTS,Seven-shape Aikin,"Little Rock, AR;Temple, TX;Clovis, NM;Greenville, TN;Gainesville, GA",http://vocab.getty.edu/page/tgn/7013897;http://vocab.getty.edu/page/tgn/2107977;http://vocab.getty.edu/page/tgn/2066835;http://vocab.getty.edu/page/tgn/2365327;http://vocab.getty.edu/page/tgn/7014038,1924,Joy to the World
1924-Hisvoi-MTS,Seven-shape Aikin,"Lawrenceburg, TN;Jacksonville, TX;Greenville, SC",http://vocab.getty.edu/page/tgn/2100022;http://vocab.getty.edu/page/tgn/2105207;http://vocab.getty.edu/page/tgn/7014143,1924,His Voice of Love
1924-Herald-MTS,Seven-shape Aikin,"Oklahoma City, OK",http://vocab.getty.edu/page/tgn/7013953,1924,Herald of Song No. 1
1924-Heave2-MTS,Seven-shape Aikin,"Greenville, SC",http://vocab.getty.edu/page/tgn/7014143,1924,Heavenly Light No. 2
1924-Heave1-MTS,Seven-shape Aikin,"Athens, GA",http://vocab.getty.edu/page/tgn/7013329,1924?,Heavenly Echoes No. 8
1924-Gospel-MTS,Seven-shape Aikin,"Dallas, GA; Ty Ty, GA; Dothan, AL",http://vocab.getty.edu/page/tgn/7013503;http://vocab.getty.edu/page/tgn/2024568;http://vocab.getty.edu/page/tgn/2003326,1924?,The Gospel Message
1924-Easter-MTS,Round,"Baltimore, MD",http://vocab.getty.edu/page/tgn/7013352,1924,Easter Gladness
1924-Collec-MTS,Round,"New York, NY",http://vocab.getty.edu/page/tgn/7007567,1924?,A Collection of 25 Selected Famous Negro Spirituals
1924-Christ-MTS,Seven-shape Aikin,"Chattanooga, TN",http://vocab.getty.edu/page/tgn/7017496,1924,Christ Exalted in Song
1924-Allfor-MTS,Seven-shape Aikin,"Birmingham, AL",http://vocab.getty.edu/page/tgn/7013425,1924?,All For Christ
1923-Songla-MTS,Seven-shape Aikin,"Little Rock, AR;Athens, GA",http://vocab.getty.edu/page/tgn/7013897;http://vocab.getty.edu/page/tgn/7013329,1923,Song-land Echoes
1923-Select-MTS,Seven-shape Aikin,"Louisville, KY",http://vocab.getty.edu/page/tgn/7013915,1924,Select Songs of Praise
1923-Newmel-MTS,Seven-shape Aikin,"Asheville, NC;Sulphur Springs, TX",http://vocab.getty.edu/page/tgn/7013325;http://vocab.getty.edu/page/tgn/2107886,1923?,New Melodies
1923-Kingof-MTS,Round,"Cincinnati, OH",http://vocab.getty.edu/page/tgn/7013604,1923,King of Kings
1923-Junior-MTS,Round,"St. Louis, MO",http://vocab.getty.edu/page/tgn/7014444,1923,The Junior Hymnal
1923-Callch-MTS,Seven-shape Aikin,"Corinth, MS",http://vocab.getty.edu/page/tgn/7017649,1923,The Call
1923-Awaken-MTS,Seven-shape Aikin,"Lawrenceburg, TN",http://vocab.getty.edu/page/tgn/2100022,1923?,Awakening Praises
1922-Songso-MTS,Seven-shape Aikin,"Chattanooga, TN;Plant City, FL",http://vocab.getty.edu/page/tgn/7017496;http://vocab.getty.edu/page/tgn/2020919,1922,Songs of Our Saviour
1922-Revive-MTS,Round,"Dallas, TX;Chattanooga, TN",http://vocab.getty.edu/page/tgn/7013503;http://vocab.getty.edu/page/tgn/7017496,1922?,Revive Us
1922-Ninety-MTS,Seven-shape Aikin;Round,"Trion, GA",http://vocab.getty.edu/page/tgn/2024543,1922,Ninety and Nine Living Songs
1922-Hymnsw-MTS,Round,"Chattanooga, TN",http://vocab.getty.edu/page/tgn/7017496,1922?,Hymns Worthy
1922-Hallel-MTS,Seven-shape Aikin,"Lawrenceburg, TN",http://vocab.getty.edu/page/tgn/2100022,1922,Hallelujahs
1922-Glorys-MTS,Seven-shape Aikin,"Waco, TX;Memphis, TN",http://vocab.getty.edu/page/tgn/7014575;http://vocab.getty.edu/page/tgn/7017750,1922,Glory Songs
1922-Beulah-MTS,Seven-shape Aikin,"Asheville, NC",http://vocab.getty.edu/page/tgn/7013325,1922?,Beulah Songs
1927-Vaugha-MTS,Seven-shape Aikin,"Lawrenceburg, TN",http://vocab.getty.edu/page/tgn/2100022,1921,Vaughan's Concert Quartet Book
1921-Songsf-MTS,Round,"Nashville, TN;Dallas, TX;Richmond, VA",http://vocab.getty.edu/page/tgn/7013959;http://vocab.getty.edu/page/tgn/7013503;http://vocab.getty.edu/page/tgn/7013964,1921,Songs for the Sunday School
1921-Reviva-MTS,Seven-shape Aikin,"Dayton, VA",http://vocab.getty.edu/page/tgn/2111441,1921,Revival Gems
1921-Musict-MTS,Seven-shape Aikin,"Hudson, NC",http://vocab.getty.edu/page/tgn/2075179,1921,Music That Wins
1921-Glorye-MTS,Seven-shape Aikin,"Asheville, NC;Comanche, TX",http://vocab.getty.edu/page/tgn/7013325;http://vocab.getty.edu/page/tgn/2103388,1921?,Glory Echoes
1921-Glorio-MTS,Seven-shape Aikin,"Saltillo, MS;Springfield, MO;Dallas, TX;Pell City, AL",http://vocab.getty.edu/page/tgn/2057416;http://vocab.getty.edu/page/tgn/7014532;http://vocab.getty.edu/page/tgn/7013503;http://vocab.getty.edu/page/tgn/2004850,1921,Glorious Praise
1921-Elmhur-MTS,Round,"St. Louis, MO;Chicago, IL",http://vocab.getty.edu/page/tgn/7014444;http://vocab.getty.edu/page/tgn/7013596,1921,Elmhurst Hymnal and Orders of Worship
1921-Alexan-MTS,Round,"Philadelphia, PA",http://vocab.getty.edu/page/tgn/7014406,1921?,Alexander's Hymns No. 4
1920-Songs3-MTS,Round,"Atlanta, GA",http://vocab.getty.edu/page/tgn/7013331,19XX,Songs of the South
1920-Songs1-MTS,Round,"Atlanta, GA",http://vocab.getty.edu/page/tgn/7013331,1920,Songs of Redemption
1920-Songan-MTS,Seven-shape Aikin,"Basic, VA",http://vocab.getty.edu/page/tgn/9226807,1920,Song and Story
1920-Practi-MTS,Seven-shape Aikin,"Dayton, VA",http://vocab.getty.edu/page/tgn/2111441,1920?,The Practical Music Reader No. 2
1920-Newper-MTS,Round,"Lawrenceburg, TN",http://vocab.getty.edu/page/tgn/2100022,1920,New Perfect Praise
1920-Highwa-MTS,Seven-shape Aikin,"Dalton, GA;Dallas, TX;Chattanooga, TN",http://vocab.getty.edu/page/tgn/2022620;http://vocab.getty.edu/page/tgn/7013503;http://vocab.getty.edu/page/tgn/7017496,1920,The Highway of Song
1920-Heaven-MTS,Seven-shape Aikin,"Athens, GA",http://vocab.getty.edu/page/tgn/7013329,1920?,Heavenly Echoes No. 5
1918-Harves-MTS,Seven-shape Aikin,"Altanta, GA",http://vocab.getty.edu/page/tgn/7013331,1920,Harvest Carols
1920-Evange-MTS,Seven-shape Aikin,"Knoxville, TN;Little Rock, AR",http://vocab.getty.edu/page/tgn/7013841;http://vocab.getty.edu/page/tgn/7013897,1920,Evangel Light
1920-Bellso-MTS,Seven-shape Aikin,"Waco, TX;Memphis, TN",http://vocab.getty.edu/page/tgn/7014575;http://vocab.getty.edu/page/tgn/7017750,1920,Bells of Bethlehem
1919-Trutha-MTS,Seven-shape Aikin,"Hudson, NC",http://vocab.getty.edu/page/tgn/2075179,1919,Truth and Hope
1919-Songso-MTS,Seven-shape Aikin,"Dayton, TN",http://vocab.getty.edu/page/tgn/2098772,1919,Songs of Revival Power
1919-Crowns-MTS,Seven-shape Aikin,"Dalton, GA;Dallas, TX;Chattanooga, TN",http://vocab.getty.edu/page/tgn/2022620;http://vocab.getty.edu/page/tgn/7013503;http://vocab.getty.edu/page/tgn/7017496,1919,Crowns of Love
1919-Carols-MTS,Seven-shape Aikin,"Waco, TX;Memphis, TN",http://vocab.getty.edu/page/tgn/7014575;http://vocab.getty.edu/page/tgn/7017750,1919,Carols of Peace
1914-Victor-MTS,Seven-shape Aikin,"Bethlehem, GA",http://vocab.getty.edu/page/tgn/2022169,1914?,Victory Bells
1918-Towner-MTS,Round,"Chicago, IL",http://vocab.getty.edu/page/tgn/7013596,1918,Towner's Male Quartettes
1919-Shinin-MTS,Seven-shape Aikin,"Belmont, MS",http://vocab.getty.edu/page/tgn/2055933,1918,Shining Gems for Jesus
1918-Reviv2-MTS,Round,"Dalton, GA;Dallas, TX;Chattanooga, TN",http://vocab.getty.edu/page/tgn/2022620;http://vocab.getty.edu/page/tgn/7013503;http://vocab.getty.edu/page/tgn/7017496,1918,Revival Praise
1918-Reviv1-MTS,Seven-shape Aikin,"Fort Worth, TX",http://vocab.getty.edu/page/tgn/7013934,1918,Revival Power
1918-Planta-MTS,Round,"Chicago, IL;Philadelphia, PA",http://vocab.getty.edu/page/tgn/7013596;http://vocab.getty.edu/page/tgn/7014406,1918,Rodeheaver's Plantation Melodies
1918-Heaven-MTS,Seven-shape Aikin,"Lawrenceburg, TN",http://vocab.getty.edu/page/tgn/2100022,1918-Heaven-MTS,Heavenly Voices
1918-Gladne-MTS,Seven-shape Aikin,"Hudson, NC",http://vocab.getty.edu/page/tgn/2075179,1918,Glad News No. 2
1918-Beauti-MTS,Seven-shape Aikin,"Saltillo, MS;Pell City, AL;St. Louis, MO;Springfield, MO;Pleasant Point, TN",http://vocab.getty.edu/page/tgn/2057416;http://vocab.getty.edu/page/tgn/2101055;http://vocab.getty.edu/page/tgn/7014532;http://vocab.getty.edu/page/tgn/2004850;http://vocab.getty.edu/page/tgn/7014444,1918,Beautiful Showers of Praise
1917-Servic-MTS,Round,"New York, NY",http://vocab.getty.edu/page/tgn/7007567,1917,The Service Song Book
1917-Praise-MTS,Seven-shape Aikin,"Lawrenceburg, TN",http://vocab.getty.edu/page/tgn/2100022,1917,Praise Divine
1917-Nearth-MTS,Seven-shape Aikin,"Hudson, NC",http://vocab.getty.edu/page/tgn/2075179,1917,Near The Cross
1917-Modern-MTS,Seven-shape Aikin,"Lawrenceburg, TN",http://vocab.getty.edu/page/tgn/2100022,1917,The Modern Singer
1917-Guidin-MTS,Seven-shape Aikin,"Waco, TX;Memphis, TN;Asheville, NC",http://vocab.getty.edu/page/tgn/7014575;http://vocab.getty.edu/page/tgn/7017750;http://vocab.getty.edu/page/tgn/7013325,1917,The Guiding Star
1917-Glorye-MTS,Seven-shape Aikin,"Bessemer, AL",http://vocab.getty.edu/page/tgn/2002637,1917?,Glory Evangel
1917-Garden-MTS,Seven-shape Aikin;Round,"Basic, VA",http://vocab.getty.edu/page/tgn/2114939,1917,Garden of Song
1917-Eureka-MTS,Seven-shape Aikin,,,1917,The Eureka Songster
1916-Praise-MTS,Seven-shape Aikin,"Dalton, GA;Dallas, TX;Chattanooga, TN",http://vocab.getty.edu/page/tgn/2022620;http://vocab.getty.edu/page/tgn/7013503;http://vocab.getty.edu/page/tgn/7017496,1916,Praise and Thanksgiving
1916-Gleane-MTS,Seven-shape Aikin,"Waco, TX;Memphis, TN",http://vocab.getty.edu/page/tgn/7014575;http://vocab.getty.edu/page/tgn/7017750,1916,The Gleaner
1916-Gladne-MTS,Seven-shape Aikin,"Hudson, NC",http://vocab.getty.edu/page/tgn/2075179,1916,Glad News
1915-Soulwi-MTS,Seven-shape Aikin,"Lawrenceburg, TN",http://vocab.getty.edu/page/tgn/2100022,1915,Soul-Winning Songs
1915-Songso-MTS,Round,"Cincinnati, OH",http://vocab.getty.edu/page/tgn/7013604,1915?,Songs of Mounting Up No. 2
1915-Immanu-MTS,Seven-shape Aikin,"McRae, GA",http://vocab.getty.edu/page/tgn/2023535,1915?,Immanuel's Harvester
1915-Heaven-MTS,Seven-shape Aikin,"Athens, GA",http://vocab.getty.edu/page/tgn/7013329,1915?,Heavenly Echoes 4
1915-HamRam-MTS,Round,"Chattanooga, TN",http://vocab.getty.edu/page/tgn/7017496,1915?,The Ham-Ramsay Revival Hymns
1915-Carolc-MTS,Seven-shape Aikin,"Lawrenceburg, TN",http://vocab.getty.edu/page/tgn/2100022,1915,Carol Crown
1914-Tenles-MTS,Round;Seven-shape Aikin,"Lawrenceburg, TN",http://vocab.getty.edu/page/tgn/2100022,1914,Ten Lessons in Singing
1914-Praise-MTS,Round,"Springfield, Missouri",http://vocab.getty.edu/page/tgn/7014532,1914,Praise
1914-Perenn-MTS,Seven-shape Aikin,"Dalton, GA;Dallas, TX;Chattanooga, TN",http://vocab.getty.edu/page/tgn/2022620;http://vocab.getty.edu/page/tgn/7013503;http://vocab.getty.edu/page/tgn/7017496,1914,Perennial Praise
1914-Eureka-MTS,Seven-shape Aikin,"Stigler, OK;Oneonta, AL;Morristown, TN;Seymour, TX",http://vocab.getty.edu/page/tgn/2084045;http://vocab.getty.edu/page/tgn/2004779;http://vocab.getty.edu/page/tgn/2100483;http://vocab.getty.edu/page/tgn/2107596,1914,Eureka Jewels
1913-Worlde-MTS,Seven-shape Aikin,"Dallas, TX",http://vocab.getty.edu/page/tgn/7013503,1913,The World Evangel
1913-Redemp-MTS,Seven-shape Aikin,"Nashville, TN",http://vocab.getty.edu/page/tgn/7013959,1913,Redemption Songs
1913-Planta-MTS,Round,"Philadelphia, PA",http://vocab.getty.edu/page/tgn/7014406,1913,Plantation Melodies and Spiritual Songs
1913-Newson-MTS,Seven-shape Aikin,"Lenoir, NC",http://vocab.getty.edu/page/tgn/2075439,1913,New Songs of Praise
1913-Gospel-MTS,Seven-shape Aikin,"Lawrenceburg, TN",http://vocab.getty.edu/page/tgn/2100022,1913,Gospel Hosannas
1912-Window-MTS,Seven-shape Aikin,"Athens, GA",http://vocab.getty.edu/page/tgn/7013329,1912,Windows of Heaven No. 10.
1912-Sunnys-MTS,Seven-shape Aikin,"Dalton, GA;Dallas, TX",http://vocab.getty.edu/page/tgn/2022620;http://vocab.getty.edu/page/tgn/7013503,1912,The Sunny South Quartet Book
1912-Songso-MTS,Round,"Cincinnati, OH",http://vocab.getty.edu/page/tgn/7013604,1912,Songs of Might
1912-Songan-MTS,Round,"New York, NY;Cincinnati, OH",http://vocab.getty.edu/page/tgn/7007567;http://vocab.getty.edu/page/tgn/7013604,1912,Song and Study.
1912-Newrev-MTS,Seven-shape Aikin,"Dalton, GA;Dallas, TX;Chattanooga, TN",http://vocab.getty.edu/page/tgn/2022620;http://vocab.getty.edu/page/tgn/7013503;http://vocab.getty.edu/page/tgn/7017496,1912,The New Revival Glory
1912-Harpof-MTS,Seven-shape Aikin,"Lawrenceburg, TN",http://vocab.getty.edu/page/tgn/2100022,1912,Harp of Gold
1912-Eureka-MTS,Seven-shape Aikin,"Stigler, OH
Carrollton, GA
Cullman, AL","http://vocab.getty.edu/page/tgn/2084045
http://vocab.getty.edu/page/tgn/2022353
http://vocab.getty.edu/page/tgn/2003233",1912,The Eureka Evangel
1912-Alexan-MTS,Round,"New York, NY
London, United Kingdom","http://vocab.getty.edu/page/tgn/7007567
http://vocab.getty.edu/page/tgn/8725268",1912,Alexander's Male Choir
190x-Vaugha-MTS,Seven-shape Aikin,"Athens, GA",http://vocab.getty.edu/page/tgn/7013329,1911,Vaughan's Quartets
1911-Songso-MTS,Seven-shape Aikin,"Dayton, TN",http://vocab.getty.edu/page/tgn/2098772,1911,Songs of the Kingdom
1911-Quarte-MTS,Seven-shape Aikin,"Fort Worth, TX",http://vocab.getty.edu/page/tgn/7013934,1911,Quartet Choir and Chorus
1911-Jewels-MTS,Round,"Cincinnati, OH",http://vocab.getty.edu/page/tgn/7013604,1911,Jewels for Juniors
1911-Crowni-MTS,Seven-shape Aikin,"Lawrenceburg, TN",http://vocab.getty.edu/page/tgn/2100022,1911,Crowning Praises
1910-Voices-MTS,Seven-shape Aikin,"Lawrenceburg, TN",http://vocab.getty.edu/page/tgn/2100022,1910,Voices For Jesus
1913-Happyv-MTS,Seven-shape Aikin,"Bethlehem, GA",http://vocab.getty.edu/page/tgn/2022169,1910?,Happy Voices No. 8
1909-Window-MTS,Seven-shape Aikin,"Athens, GA;Mt. Sylvan, TX",http://vocab.getty.edu/page/tgn/7013329;http://vocab.getty.edu/page/tgn/2106176,1909?,Windows of Heaven No. 7
1909-Newonw-MTS,Seven-shape Aikin,"Roanoke, VA;Logansport, IN",http://vocab.getty.edu/page/tgn/7014343;http://vocab.getty.edu/page/tgn/2032657,1909,New Onward and Upward
1909-Evange-MTS,Round,"Philadelphia, PA;Boston, MA;New York, NY;Chicago, IL;St. Louis, MO;Dallas, TX;Atlanta, GA",http://vocab.getty.edu/page/tgn/7014406;http://vocab.getty.edu/page/tgn/7013445;http://vocab.getty.edu/page/tgn/7007567;http://vocab.getty.edu/page/tgn/7013596;http://vocab.getty.edu/page/tgn/7014444;http://vocab.getty.edu/page/tgn/7013503;http://vocab.getty.edu/page/tgn/7013331,1909,The Evangel
1909-Cumber-MTS,Seven-shape Aikin,"Nashville, TN",http://vocab.getty.edu/page/tgn/7013959,1909,Cumberland Hymns
1908-Twelft-MTS,Round,"Louisville, KY",http://vocab.getty.edu/page/tgn/7013915,1908,Twelfth International Sunday School Convention
1908-Songso-MTS,Round;Seven-shape Aikin,"Cincinnati, OH",http://vocab.getty.edu/page/tgn/7013604,1908?,Songs of Mounting Up
1908-Gesang-MTS,,"St. Louis, MO;Chicago, IL",http://vocab.getty.edu/page/tgn/7014444;http://vocab.getty.edu/page/tgn/7013596,1908,Gesangbuch der Evangelischen Kirche
1907-Select-MTS,Round,"New York, NY;Chicago, IL;Atlanta, GA",http://vocab.getty.edu/page/tgn/7007567;http://vocab.getty.edu/page/tgn/7013596;http://vocab.getty.edu/page/tgn/7013331,1907,Selections from The Sacrifice of Praise
1907-Pilger-MTS,Round,"Cincinnati, OH;New York, NY",http://vocab.getty.edu/page/tgn/7013604;http://vocab.getty.edu/page/tgn/7007567,1907,Pilgerklänge
1907-Patton-MTS,Seven-shape Aikin,"Dalton, GA;Dallas, TX",http://vocab.getty.edu/page/tgn/2022620;http://vocab.getty.edu/page/tgn/7013503,1907,Patton's Gospel Hymns
1907-Organo-MTS,Round,"St. Louis, MO",http://vocab.getty.edu/page/tgn/7014444,1907,"Organ or Harmonium Accompaniment to A. Rösler's Hymnbook ""Psallite"""
1907-Happyd-MTS,Round,"Lawrenceburg, TN",http://vocab.getty.edu/page/tgn/2100022,1907,Happy Days
1907-Bestof-MTS,Seven-shape Aikin,"Dayton, VA",http://vocab.getty.edu/page/tgn/2111441,1907,Best of All
1906-Starof-MTS,Seven-shape Aikin,"Blountsville, AL;West Milton, OH",http://vocab.getty.edu/page/tgn/2002812;http://vocab.getty.edu/page/tgn/2082531,1906,Star of Hope
1906-Mehrst-MTS,Round,"St. Louis, MO",http://vocab.getty.edu/page/tgn/7014444,1906,Mehrstimmiges Choralbuch
1906-Living-MTS,Seven-shape Aikin,"Nashville, TN",http://vocab.getty.edu/page/tgn/7013959,1906?,Living Water Songs No. 2
1906-Gladho-MTS,Seven-shape Aikin,"Waco, TX;Memphis, TN",http://vocab.getty.edu/page/tgn/7014575;http://vocab.getty.edu/page/tgn/7017750,1906,Glad Hosannas
1906-GVhymn-MTS,Seven-shape Aikin,"Columbia, TN;Cincinnati, OH;Louisville, KY",http://vocab.getty.edu/page/tgn/2098585;http://vocab.getty.edu/page/tgn/7013604;http://vocab.getty.edu/page/tgn/7013915,1906?,The G. V. Hymnal
