FILENAME ID,HEIGHT,WIDTH,FROM
1911-Vaugha-MTS,19.5,13.5,
1910-Voices-MTS,19.5,14,
1907-Pilger-MTS,20.5,14.5,
1907-Patton-MTS,19.5,14.5,
1907-Happyd-MTS,20,14,
1905-Winnow-MTS,20,14,
1905-Eureka-MTS,20.5,14.5,
1902-Gemsfo-MTS,20,14,
1900-Dortch-MTS,21.5,15,
1899-Psalms-MTS,21.5,16.5,
1899-Highwa-MTS,19.5,15,
1894-PerleS-MTS,20,14,
1893-Blessi-MTS,19,15,
1892-Whiter-MTS,22,15.5,
1884-Lieder-MTS,20.5,13.5,
1867-Jugend-MTS,20,13.5,
1924-Songsf-MTS,20.5,14,
1924-Livin2-MTS,20,13.5,
1924-Livin1-MTS,19.5,14,
1924-Joytot-MTS,19.5,13.5,
1923-Songla-MTS,19.5,13.5,
1922-Ninety-MTS,19.5,13.5,
1919-Trutha-MTS,19.5,13.5,
1919-Songso-MTS,20,13.5,
1918-Shinin-MTS,19.5,13.5,
1918-Reviv2-MTS,19.5,13.5,
1918-Reviv1-MTS,20,14,
1910-Kingsp-MTS,19.5,13.5,
1900-Gospel-MTS,21.5,14.5,
1924-Heave2-MTS,19.5,13.5,
1901-Window-MTS,20,14,
1920-Heaven-MTS,19.5,13.5,
1896-Window-MTS,20,13.5,
1924-Gospel-MTS,20,13.5,
1924-Shinin-MTS,20,13,
1922-Hispra-MTS,19.5,13.5,
1913-Praise-MTS,20.5,14,
1924-Herald-MTS,19.5,13.5,
1907-Organo-MTS,22.5,28.5,
1901-Psalms-MTS,13,9,
1899-Storyo-MTS,19,14,
1898-Golden-MTS,14,18,
1894-Trebel-MTS,25,17.5,
1894-Lieder-MTS,14,19,
1892-Trieda-MTS,15,19,
1889-Songso-MTS,18.5,15,
1889-Herber-MTS,25,18.5,
1888-Modern-MTS,24.5,18,
1888-Garner-MTS,15.5,19.5,
1887-Musica-MTS,17.5,25.5,
1887-Empire-MTS,17,24.5,
1886-Flower-MTS,19.5,15,
1885-McPhai-MTS,25,18.5,
1885-Herber-MTS,15.5,21,
1884-Englis-MTS,23.5,15.5,
1883-Hallel-MTS,14.5,17.5,
1882-Tribut-MTS,20.5,15,
1882-Songso-MTS,14,18,
1882-Lieder-MTS,13,8.5,
1882-Davids-MTS,24.5,18,
1881-Hearta-MTS,14,18,
1881-Gemofg-MTS,14,18.5,
1880-Undert-MTS,20.5,15.5,
1880-Gateso-MTS,14,17.5,
1878-Univer-MTS,13.5,9.5,
1878-Heaven-MTS,13.5,17.5,
1877-Songso-MTS,14,17.5,
1876-Spirit-MTS,17.5,11,
1876-Songhe-MTS,16.5,24,
1874-Songer-MTS,16.5,24.5,
1874-Melodi-MTS,17,11.5,
1874-Corone-MTS,13,17,
1874-Cabina-MTS,21.5,15.5,
1873-Manner-MTS,16.5,24.5,
1872-Puredi-MTS,13.5,17,
1871-Truesi-MTS,16.5,24.5,
1871-Charmc-MTS,12.5,16,
1870-WestVi-MTS,14.5,11,
1870-Sacred-MTS,15.5,23,
1869-Christ-MTS,18.5,12,
1867-Songso-MTS,12.5,16,
1867-Chants-MTS,17,13.5,
1864-Devoti-MTS,16.5,13,
1860-Church-MTS,20,13.5,
1859-Songsf-MTS,13.5,19,
1854-Church-MTS,20.5,12.5,
1853-Timbre-MTS,16,24.5,
1852-Romber-MTS,16,25,
1850-Golden-MTS,16.5,25,
1843-Manual-MTS,16.5,10.5,
1932-Fortys-MTS,22.5,15,
1928-Sparkl-MTS,19.5,13.5,
1925-Songs1-MTS,19.5,13.5,
1925-Signal-MTS,19.5,13,
1917-Servic-MTS,18.5,13,
1917-Modern-MTS,19.5,13.5,
1916-Gleane-MTS,20,13.5,
1915-Heaven-MTS,19.5,13.5,
1914-Tenles-MTS,19.5,13.5,
1914-Perenn-MTS,19.5,13,
1913-Newson-MTS,20,14,
1912-Songso-MTS,20,14,
1912-Eureka-MTS,19.5,14,
1912-Alexan-MTS,19.5,13,
1911-Songso-MTS,19.5,13.5,
1906-Mehrst-MTS,20.5,28,
1906-GVhymn-MTS,20.5,14,
1905-Songs2-MTS,20.5,14,
1904-Practi-MTS,21,13.5,
1904-Perrys-MTS,21,14,
1903-Hymnso-MTS,21,15,
1902-Favori-MTS,27,20,
1902-Bibles-MTS,19,13,
1901-Hymnso-MTS,21,14.5,
1900-Practi-MTS,25.5,18,
1900-Pentec-MTS,21.5,14.5,
1897-Select-MTS,19.5,14,
1897-Romanh-MTS,14,10,
1897-Anthem-MTS,25.5,18.5,
1896-Anthem-MTS,27,18.5,
1892-Songsa-MTS,21.5,13.5,
1891-Cabina-MTS,23.5,15.5,
1878-Precio-MTS,13.5,17.5,
1878-Harves-MTS,17,24.5,
1871-Crowno-MTS,12.5,16.4,
1914-Eureka-MTS,19.5,13.5,
1912-Sunnys-MTS,20.5,14,
1901-Songso-MTS,21,14,
1907-Select-MTS,21,14,
1910-Happyv-MTS,19.5,14,
1916-Praise-MTS,20,13.5,
1920-Songs1-MTS,20.5,14.5,
1888-Deutsc-MTS,21.5,15,
1921-Mostpo-MTS,19.5,13.5,
1920-Songs2-MTS,20,13.5,
1908-Bethan-MTS,20.5,14,
1918-Beauti-MTS,19.5,14,
192x-Gospel-MTS,20,13.5,
1905-Soulso-MTS,20.5,14.5,
1904-Living-MTS,19.5,13.5,
1911-Quarte-MTS,19.5,13.5,
1906-Living-MTS,19.5,13.5,
1909-Breado-MTS,19.5,13.5,
19xx-Tobacc-MTS,19.5,14,
1921-Gospel-MTS,19.5,13.5,
1915-Songso-MTS,19.5,13.5,
1921-Glorio-MTS,19.5,13.5,
1920-Evange-MTS,20,13.5,
1925-Blesse-MTS,20.5,13.5,
1915-Immanu-MTS,20,14,
1925-Master-MTS,20.5,14.5,
1895-Psalms-MTS,22,16,
1908-Gesang-MTS,15.5,10,
1917-Allwin-MTS,19.5,14,MTS 1
1843-Dupuys-UKY,12.5cm,7.8 cm,
1850-Hymnsf-UKY,16.5cm,10.5cm,
1851-Christ-UKY,15.5 cm,11.5 cm,
1852-Psalms-UKY,12 cm,8 cm,
1853-Prairi-UKY,,,
1853-Shawml-UKY,17 cm,24.5 cm,
1854-Psalmi-UKY,16.5 cm,10.5 cm,
1858-Christ-UKY,12cm,8.5cm,
1859-Pastor-UKY,20 cm,14 cm,
1865-Christ-UKY,13.5 cm,9 cm (with buckle),
1866-Christ-UKY,12cm,7.5cm,
1866-Tefilo-UKY,16.5 cm,12 cm,
1867-Psalms-UKY,14cm,9cm,
1867-Taboro-UKY,18 cm,26 cm,
1868-Silver-UKY,19.5 cm,13.5 cm,
1870-NewChr-UKY,16.5 cm,25 cm,
1871-Israel-UKY,19 cm,12.5 cm,
1871-Songki-UKY,16.5 cm,25 cm,
1871-Sparkl-UKY,19.5 cm,13 cm,
1872-Collec-UKY,13.5cm,8.5cm,
1872-Gloryc-UKY,16.5cm,24cm,
1872-Hymnso-UKY,21 cm,14 cm,
1873-Amaran-UKY,13.5cm,17cm,
1873-Hermon-UKY,17cm,25c.5m,
1873-Sunshi-UKY,13.5 cm,17.5 cm,
1874-Gospel-UKY,19.5 cm,13.5 cm,
1874-Hallow-UKY,14.5cm,11.5cm,
1874-Palmer-UKY,14 cm,18 cm,
1875-Choira-UKY,22.5cm,19cm,
1875-Starry-UKY,13.5 cm,18.5 cm,
1876-NewHar-UKY,16 cm,25 cm,
1877-Choice-UKY,15.5 cm,11 cm,
1878-Gabrie-UKY,14.5cm,18cm,
1878-Hymna1-UKY,17cm,11cm,
1878-Hymna2-UKY,18cm,13cm,
1879-Hourso-UKY,16.5cm,25cm,
1879-Joytow-UKY,18 cm,12.5 cm,
1879-Newcho-UKY,22.5 cm,19 cm,
1879-Shinin-UKY,14.5 cm,18 cm,
1880-Popula-UKY,14 cm,9 cm,
1880-Sharon-UKY,21 cm,14.5 cm,
1881-Crowno-UKY,17cm,24.5cm,
1881-Greatj-UKY,20cm,13.5cm,
1882-Christ-UKY,22cm,16cm,
1882-Hourso-UKY,19.5cm,14cm,
1883-Christ-UKY,20cm,15.5cm,
1883-Spirit-UKY,20 cm,14 cm,
1884-Gospel-UKY,13.75 cm,17.5 cm,
1885-Christ-UKY,17cm,14cm,
1885-Zionso-UKY,14.5 cm,18 cm,
1886-Carolb-UKY,20cm,15.5cm,
1886-Newsta-UKY,15 cm,18 cm,
1886-Royalp-UKY,17cm,25cm,
1887-Gospel-UKY,20.5 cm,14 cm,
1887-Harves-UKY,19.5cm,13.5,
1887-NewChr-UKY,18.5 cm,13.5 cm,
1889-Neuekl-UKY,16 cm,12.5 cm,
1889-Voiceo-UKY,20.5cm,14.5cm,
1890-Evange-UKY,15.5cm,10.5cm,
1890-Finest-UKY,20.5cm,14cm,
1891-Christ-UKY,22cm,16cm,
1891-Perenn-UKY,19 cm,14 cm,
1892-Founta-UKY,14.5cm,18cm,
1892-Garner-UKY,16cm,19cm,
1894-Himnar-UKY,21cm,16cm,
1894-Newlif-UKY,15 cm,17.5 cm,
1894-Tearsa-UKY,20.5 cm,14 cm,
1895-Christ-UKY,22.5cm,15.5cm,
1895-Newtun-UKY,15 cm,24 cm,
1895-Salvat-UKY,20.5 cm,14.5 cm,
1895-Voice1-UKY,21cm,14.5cm,
1895-Voice2-UKY,20.5 cm,14 cm,
1896-Praise-UKY,21cm,15.5cm,
1896-Reviva-UKY,19.5cm,13.5cm,
1896-Soulwi-UKY,21 cm,14.5 cm,
1897-Songsf-UKY,20.5 cm,15 cm,
1897-Tearsa-UKY,20.5 cm,14.5 cm,
1897-Unionh-UKY,18.5 cm,13 cm,
1898-Crowni-UKY,21cm,14cm,
1899-Notes1-UKY,20.5 cm,14 cm,
