ssdl:pid,ssdl:placeOfContributorAffiliation,ssdl:placeOfContributorAffiliationUri,ssdl:dateOfPublication,ssdl:shortTitle
1867-Violet-EMU,"United States, Ohio, Hamilton, East Madisonville",http://vocab.getty.edu/page/tgn/2308390,1867,The Violet
1868-Chapel-EMU,"United States, Illinois, Cook, Chicago;United States, New York, Kings, Brooklyn",ttp://vocab.getty.edu/page/tgn/7013596;http://vocab.getty.edu/page/tgn/7015822,1868,Chapel Gems for Sunday Schools
1868-Eclect-EMU,,,1868,The Eclectic Sabbath-School Hymn-Book
1868-Hymnsa-EMU,"United States, Ohio, Hamilton, Cincinnati;United States, New York, New York;United States, Connecticut, Middlesex, Middletown",http://vocab.getty.edu/page/tgn/7013604;http://vocab.getty.edu/page/tgn/1002715;http://vocab.getty.edu/page/tgn/7014047,1868,Hymns and Tunes
1868-School-EMU,"United States, Connecticut, Hartford, Hartford",http://vocab.getty.edu/page/tgn/7013695,1868,School Lyrics
1868-Shinin-EMU,"United States, Indiana, Washington, Blue River",http://vocab.getty.edu/page/tgn/2031126,1868,Shining Pearls
1869-Songsf-EMU,"United States, Missouri, independent city, Saint Louis;United States, Iowa, Dubuque, Dubuque;United States, Missouri, Linn, Thayer;United States, Iowa, Poweshiek, Grinnell;United States, Ohio, Cuyahoga, Cleveland;United States, Massachusetts, Suffolk, Boston;United States, New York, Jefferson, Antwerp;United States, Iowa, Bremer, Waverly;United States, Iowa, Scott, Davenport;United States, Iowa, Hardin, Eldora;United States, Maryland, independent city, Baltimore;United States, Missouri, Marion, Hannibal",http://vocab.getty.edu/page/tgn/7014444;http://vocab.getty.edu/page/tgn/7013620;http://vocab.getty.edu/page/tgn/2716193;http://vocab.getty.edu/page/tgn/7014146;http://vocab.getty.edu/page/tgn/7013608;http://vocab.getty.edu/page/tgn/7013445;http://vocab.getty.edu/page/tgn/2067826;http://vocab.getty.edu/page/tgn/2035864;http://vocab.getty.edu/page/tgn/7013507;http://vocab.getty.edu/page/tgn/2034720;http://vocab.getty.edu/page/tgn/7013352;http://vocab.getty.edu/page/tgn/7013689,1869,Songs for the New Life
1871-Christ-EMU,"United States, Kentucky, Campbell, Newport;United States, Indiana, Marion, Indianapolis;United States, Kentucky, Fayette, Lexington;United States, Ohio, Hamilton, Cincinnati",http://vocab.getty.edu/page/tgn/2040496;http://vocab.getty.edu/page/tgn/7012924;http://vocab.getty.edu/page/tgn/7013887;http://vocab.getty.edu/page/tgn/7013604,1871,The Christian Hymnal
1871-Kindwo-EMU,"United States, Kentucky, Jefferson, Louisville;United States, Mississippi, Lowndes, Columbus",http://vocab.getty.edu/page/tgn/7013915;http://vocab.getty.edu/page/tgn/2056204,1871,Kind Words
1872-Harfen-EMU,"United States, Ohio, Hamilton, Cincinnati",http://vocab.getty.edu/page/tgn/7013604,1872,Harfen-Kl??nge
1872-Newhar-EMU,"United States, Ohio, Hamilton, East Madisonville",http://vocab.getty.edu/page/tgn/2308390,1872?,The New Harp of Zion
1873-Fruits-EMU,"United States, South Carolina, Spartanburg, Spartanburg",http://vocab.getty.edu/page/tgn/7014524,1873,Fruits and Flowers
1873-Hymnsf-EMU,"United States, Tennessee, Davidson, Nashville;United States, South Carolina, Charleston, Charleston",http://vocab.getty.edu/page/tgn/7013959;http://vocab.getty.edu/page/tgn/7013582,1873,Hymns for Schools and Families
1873-Songsf-EMU,"United States, Ohio, Delaware, Delaware",http://vocab.getty.edu/page/tgn/7013543,1873,Songs for Worship
1874-Bookof-EMU,"United States, Alabama, Perry, Uniontown;United States, Pennsylvania, Erie, Erie;United States, Virginia, Richmond, Richmond",http://vocab.getty.edu/page/tgn/2005608;http://vocab.getty.edu/page/tgn/7017542;http://vocab.getty.edu/page/tgn/7013964,1874,Book of Hymns and Tunes
1874-Contri-EMU,"United States, Maryland, independent city, Baltimore",http://vocab.getty.edu/page/tgn/7013352,1874,Contributions to the Hymnody of the Church
1874-Everys-EMU,"United States, Ohio, Delaware, Delaware",http://vocab.getty.edu/page/tgn/7013543,1874,Every Sabbath
1874-Golden-EMU,"United States, Indiana, Rush, Rushville",http://vocab.getty.edu/page/tgn/2033524,1874,The Golden Gate
1874-Palmof-EMU,"United States, Missouri, independent city, Saint Louis;United States, Illinois, McLean, Bloomington",http://vocab.getty.edu/page/tgn/7014444;http://vocab.getty.edu/page/tgn/2026630,1874,The Palm of Victory
1876-Bibles-EMU,"United States, Tennessee, Davidson, Nashville;United States, Tennessee, Wilson, Lebanon;United States, Illinois, Logan, Lincoln;United States, Missouri, Macon, College Mound;United States, Tennessee, Davidson, Nashville",http://vocab.getty.edu/page/tgn/7013959;http://vocab.getty.edu/page/tgn/2100035;http://vocab.getty.edu/page/tgn/2028778;http://vocab.getty.edu/page/tgn/2058408;http://vocab.getty.edu/page/tgn/7013959,1876,Bible Songs
1875-Devoti-EMU,"United States, Virginia, Richmond, Richmond",http://vocab.getty.edu/page/tgn/7013964,1875,Devotional Hymns
1875-Gospel-EMU,"United States, Indiana, Rush, Rushville",http://vocab.getty.edu/page/tgn/2033524,1875,The Gospel Trumpet
1876-Melodi-EMU,"United States, Illinois, Hamilton, McLeansboro;United States, Virginia, Rockingham, Linville;United States, Massachusetts, Essex, Rowley;United States, Illinois, Clay, Flora;United States, Iowa, Delaware, Colesburg",http://vocab.getty.edu/page/tgn/2028913;http://vocab.getty.edu/page/tgn/2112698;http://vocab.getty.edu/page/tgn/2050508;http://vocab.getty.edu/page/tgn/2027864;http://vocab.getty.edu/page/tgn/2034538,1876,Melodies of Praise
1876-Storyo-EMU,"United States, New Jersey, Essex, East Orange;United States, Ohio, Lorain, Oberlin",http://vocab.getty.edu/page/tgn/2064594;http://vocab.getty.edu/page/tgn/7014255,1876,The Story of the Jubilee Singers
1877-Jasper-EMU,"United States, Ohio, Delaware, Delaware",http://vocab.getty.edu/page/tgn/7013543,1877,Jasper and Gold
1877-Mornin-EMU,"United States, Indiana, Rush, Rushville",http://vocab.getty.edu/page/tgn/2033524,1877,The Morning Star
1877-Newmel-EMU,"United States, Illinois, Hamilton, McLeansboro;United States, Virginia, Rockingham, Dayton",http://vocab.getty.edu/page/tgn/2028913;http://vocab.getty.edu/page/tgn/2111441,1877,New Melodies of Praise
1878-Golden-EMU,"United States, Indiana, Allen, Fort Wayne",http://vocab.getty.edu/page/tgn/7013933,1878,Golden Shore
1878-Gospe1-EMU,"United States, Iowa, Muscatine, Wilton;United States, Kansas, Council Grove",http://vocab.getty.edu/page/tgn/2035920;http://vocab.getty.edu/page/tgn/2036231,1878,Gospel and Temperance Songs
1878-Gospe2-EMU,"United States, Ohio, Ashtabula, Wayne",http://vocab.getty.edu/page/tgn/2082457,1878,The Gospel Male Choir
1878-Helpin-EMU,"United States, Indiana, Cass, Logansport;United States, Colorado, Douglas",http://vocab.getty.edu/page/tgn/2032657;http://vocab.getty.edu/page/tgn/2000209,1878,The Helping Hand
1878-Hymnal-EMU,"United States, Massachusetts, Suffolk, Boston;United States, New York, New York;United States, Delaware,  New Castle, Townsend;United States, Pennsylvania, Philadelphia, Philadelphia;United States, Maryland, independent city, Baltimore;United States, Indiana, Putnam, Greencastle;United States, Ohio, Hamilton, Cincinnati;United States, Illinois, Cook, Chicago;United States, Iowa, Polk, Des Moines;United States, Georgia, Fulton, Atlanta;United States, New York, Onondaga, Syracuse",http://vocab.getty.edu/page/tgn/7013445;http://vocab.getty.edu/page/tgn/1002715;http://vocab.getty.edu/page/tgn/2018226;http://vocab.getty.edu/page/tgn/7014406;http://vocab.getty.edu/page/tgn/7013352;http://vocab.getty.edu/page/tgn/2032031;http://vocab.getty.edu/page/tgn/7013604;http://vocab.getty.edu/page/tgn/7013596;http://vocab.getty.edu/page/tgn/7013546;http://vocab.getty.edu/page/tgn/7013331;http://vocab.getty.edu/page/tgn/7014561,1878,Hymnal of the Methodist Episcopal Church
1878-Lastwo-EMU,"United States, Tennessee, Shelby, Arlington",http://vocab.getty.edu/page/tgn/2097755,1878,Last Words
1878-Revivi-EMU,"United States, Virginia, Grayson, Baywood",http://vocab.getty.edu/page/tgn/2110560,1878,Reviving Hymns for the New Life
