ssdl:pid,ssdl:placeOfContributorAffiliation,ssdl:placeOfContributorAffiliationUri,ssdl:dateOfPublication,ssdl:shortTitle
1921-Musict-MTS,"United States, Georgia, Pickens, Ludville;United States, Tennessee, Jefferson, White Pine;United States, North Carolina, Buncombe, Asheville;United States, Alabama, Madison, Huntsville;United States, South Carolina, Greenville, Greenville;United States, North Carolina, Jackson, Sylva;United States, Kentucky, Lincoln, Waynesburg;United States, North Carolina, Caldwell, Hudson;United States, North Carolina, Watauga, Boone;United States, Tennessee, Lawrence;United States, Tennessee, Carter;United States, Tennessee, Sevier;United States, Alabama, Winston;United States, Alabama, Lauderdale;United States, Tennessee, Lauderdale;United States, North Carolina, Alexander;United States, Alabama, Limestone;United States, North Carolina, Graham, Cheoah;United States, South Carolina, Greenville, Greenville;United States, Mississippi, Okktibbeha, Starkville;United States, North Carolina, Caldwell, Granite Falls;United States, Alabama, Limestone, Athens;United States, Alabama, Pike, Curry;United States, Alabama, Lauderdale, Florence;United States, North Carolina, Catawba, Brookford;United States, Alabama, Lauderdale Co;United States, Alabama, Limestone, Ripley;United States, Tennessee, Covier, Kodak;United States, Alabama, Limestone Co;United States, Virginia, Lee, St. Charles",http://vocab.getty.edu/page/tgn/2023441;http://vocab.getty.edu/page/tgn/2102095;http://vocab.getty.edu/page/tgn/7013325;http://vocab.getty.edu/page/tgn/7013732;http://vocab.getty.edu/page/tgn/7014143;http://vocab.getty.edu/page/tgn/2076870;http://vocab.getty.edu/page/tgn/2041857;http://vocab.getty.edu/page/tgn/2075179;http://vocab.getty.edu/page/tgn/2073774;http://vocab.getty.edu/page/tgn/2001886;http://vocab.getty.edu/page/tgn/2001846;http://vocab.getty.edu/page/tgn/2001914;http://vocab.getty.edu/page/tgn/2000066;http://vocab.getty.edu/page/tgn/2000038;http://vocab.getty.edu/page/tgn/2001885;http://vocab.getty.edu/page/tgn/2001464;http://vocab.getty.edu/page/tgn/2000041;http://vocab.getty.edu/page/tgn/2234433;http://vocab.getty.edu/page/tgn/7014143;http://vocab.getty.edu/page/tgn/2057541;http://vocab.getty.edu/page/tgn/2074840;http://vocab.getty.edu/page/tgn/2002521;http://vocab.getty.edu/page/tgn/2272211;http://vocab.getty.edu/page/tgn/7013767;http://vocab.getty.edu/page/tgn/2073822;http://vocab.getty.edu/page/tgn/2000038;http://vocab.getty.edu/page/tgn/2005093;http://vocab.getty.edu/page/tgn/2099947;http://vocab.getty.edu/page/tgn/2000041;http://vocab.getty.edu/page/tgn/2114091,1921,Music That Wins
1921-Glorye-MTS,"United States, North Carolina, Buncombe, Asheville;United States, Louisiana, Caddo, Shreveport;United States, Texas, Comanche, Comanche;United States, Texas, Shelby, Timpson;United States, Georgia, Fulton, Atlanta;United States, Georgia, Barrow, Bethlehem;United States, Mississippi, Lee, Tupelo;United States, Texas, Denton, Pilot Point;United States, South Carolina, Greenville, Greenville;United States, Mississippi, Lee, Saltillo;United States, Texas, Lubbock;United States, Texas, Stephens;United States, Texas, Coleman, Trickham;United States, Alabama, Winston Co;United States, North Carolina, Buncombe, Asheville",http://vocab.getty.edu/page/tgn/7013325;http://vocab.getty.edu/page/tgn/7014504;http://vocab.getty.edu/page/tgn/2103388;http://vocab.getty.edu/page/tgn/2108056;http://vocab.getty.edu/page/tgn/7013331;http://vocab.getty.edu/page/tgn/2022169;http://vocab.getty.edu/page/tgn/2057652;http://vocab.getty.edu/page/tgn/2106740;http://vocab.getty.edu/page/tgn/7014143;http://vocab.getty.edu/page/tgn/2057416;http://vocab.getty.edu/page/tgn/2002032;http://vocab.getty.edu/page/tgn/2002076;http://vocab.getty.edu/page/tgn/2108103;http://vocab.getty.edu/page/tgn/2000066;http://vocab.getty.edu/page/tgn/7013325,1921?,Glory Echoes
1921-Glorio-MTS,"United States, Mississippi, Lee, Saltillo;United States, Georgia, Fulton, Atlanta;United States, Missouri, Greene, Springfield;United States, Illinois, Cook, River Forest;United States, Tennessee, Shelby, Memphis;United States, Texas, Dallas, Dallas;United States, Arkansas, Greene, Oak Grove Heights;United States, Alabama, Morgan, Hartselle;United States, Alabama, St. Clair, Pell City;United States, Mississippi, Monroe, Smithville;United States, Mississippi, Lamar, Oak Grove;United States, North Carolina, Buncombe, Asheville;United States, Texas, Taylor, Abilene;United States, Texas, Smith, Mount Sylvan;United States, Alabama, Bibb, Eoline;United States, Alabama, Winston, Arley;United States, Alabama, Crenshaw, Brantley;United States, Mississippi, Union, New Albany;United States, Mississippi, Union;United States, Mississippi, Jones;United States, Alabama, Crenshaw, Brantley;United States, Arkansas, Ashley, Beech Creek;United States, Mississippi, Itawamba Co;United States, Arkansas, Scott, Boles;United States, Mississippi, Claiborne, Alcorn;United States, Georgia, Fulton, Atlanta",http://vocab.getty.edu/page/tgn/2057416;http://vocab.getty.edu/page/tgn/7013331;http://vocab.getty.edu/page/tgn/7014532;http://vocab.getty.edu/page/tgn/7014340;http://vocab.getty.edu/page/tgn/7017750;http://vocab.getty.edu/page/tgn/7013503;http://vocab.getty.edu/page/tgn/2009099;http://vocab.getty.edu/page/tgn/2003796;http://vocab.getty.edu/page/tgn/2004850;http://vocab.getty.edu/page/tgn/2057512;http://vocab.getty.edu/page/tgn/2057111;http://vocab.getty.edu/page/tgn/7013325;http://vocab.getty.edu/page/tgn/2102212;http://vocab.getty.edu/page/tgn/2106176;http://vocab.getty.edu/page/tgn/2003416;http://vocab.getty.edu/page/tgn/2002499;http://vocab.getty.edu/page/tgn/2002872;http://vocab.getty.edu/page/tgn/2057065;http://vocab.getty.edu/page/tgn/2001158;http://vocab.getty.edu/page/tgn/2001119;http://vocab.getty.edu/page/tgn/2002872;http://vocab.getty.edu/page/tgn/2159799;http://vocab.getty.edu/page/tgn/2001114;http://vocab.getty.edu/page/tgn/2007787;http://vocab.getty.edu/page/tgn/2128249;http://vocab.getty.edu/page/tgn/7013331,1921,Glorious Praise
1921-Elmhur-MTS,"United States, Illinois, Du Page, Elmhurst;United States, Indiana, Marion, Indianapolis;United States, Ohio, Hardin, Kenton;United States, Indiana, Vanderburgh, Evansville;United States, New York, Erie, Buffalo;United States, Missouri, independent city, Saint Louis;United States, New York, Monroe, Rochester;United States, Massachusetts, Suffolk, Boston",http://vocab.getty.edu/page/tgn/2027720;http://vocab.getty.edu/page/tgn/7012924;http://vocab.getty.edu/page/tgn/2080177;http://vocab.getty.edu/page/tgn/7014154;http://vocab.getty.edu/page/tgn/7013463;http://vocab.getty.edu/page/tgn/7014444;http://vocab.getty.edu/page/tgn/7014348;http://vocab.getty.edu/page/tgn/7013445,1921,Elmhurst Hymnal and Orders of Worship
1921-Alexan-MTS,"United Kingdom, England, West Midlands, Birmingham borough;United States, Pennsylvania, Philadelphia, Philadelphia",http://vocab.getty.edu/page/tgn/7010955;http://vocab.getty.edu/page/tgn/7014406,1921?,Alexander's Hymns No. 4
1920-Songs3-MTS,"United States, Georgia, Fulton, Atlanta",http://vocab.getty.edu/page/tgn/7013331,19XX,Songs of the South
1920-Songs1-MTS,"United States, Virginia, independent city, Lynchburg;United States, Georgia, Bibb, Macon",http://vocab.getty.edu/page/tgn/7013981;http://vocab.getty.edu/page/tgn/7013980,1920,Songs of Redemption
1920-Songan-MTS,"United States, Virginia, Augusta, Basic City;United States, Massachusetts, Worcester, Gardner;United States, Virginia, independent city, Harrisonburg;United States, Arkansas, Hempstead, Fulton;United States, North Carolina, Gaston, High Shoals;United States, Ohio, Hamilton, Cincinnati;United States, Georgia, Fulton, Atlanta;United States, North Carolina, Buncombe, Asheville;United States, Virginia, Rockingham, Dayton;United States, Virginia, Rockingham, Linville;United States, Illinois, Cook, Chicago;United States, Pennsylvania, Philadelphia, Philadelphia;United States, Illinois, Cook, River Forest;United States, Arkansas, White, Pangburn;United States, Tennessee, Shelby, Memphis;United States, Missouri, Greene, Springfield;United States, Tennessee, Campbell;United States, Tennessee, McMinn;United States, North Carolina, Rutherford, Rutherfordton;United States, Virginia, Rockingham;United States, California, San Bernadino, Redlands",http://vocab.getty.edu/page/tgn/9226807;http://vocab.getty.edu/page/tgn/2049807;http://vocab.getty.edu/page/tgn/2112170;http://vocab.getty.edu/page/tgn/2008301;http://vocab.getty.edu/page/tgn/2075107;http://vocab.getty.edu/page/tgn/7013604;http://vocab.getty.edu/page/tgn/7013331;http://vocab.getty.edu/page/tgn/7013325;http://vocab.getty.edu/page/tgn/2111441;http://vocab.getty.edu/page/tgn/2112698;http://vocab.getty.edu/page/tgn/7013596;http://vocab.getty.edu/page/tgn/7014406;http://vocab.getty.edu/page/tgn/7014340;http://vocab.getty.edu/page/tgn/2009163;http://vocab.getty.edu/page/tgn/7017750;http://vocab.getty.edu/page/tgn/7014532;http://vocab.getty.edu/page/tgn/2001843;http://vocab.getty.edu/page/tgn/7022542;http://vocab.getty.edu/page/tgn/7014430;http://vocab.getty.edu/page/tgn/2002187;http://vocab.getty.edu/page/tgn/2013544,1920,Song and Story
1920-Practi-MTS,"United States, Virginia, Rockingham, Dayton;United States, Virginia, Rockingham",http://vocab.getty.edu/page/tgn/2111441;http://vocab.getty.edu/page/tgn/2002187,1920?,The Practical Music Reader No. 2
1920-Newper-MTS,"United States, Tennessee, Lawrence, Lawrenceburg;United States, Florida, Jefferson, Waukeenah;United States, South Carolina, Anderson, Anderson;United States, Texas, Shelby, Timpson;United States, Texas, Hunt;United States, Texas, Cass;United States, Texas, Upshur;United States, Texas, Navarro;United States, South Carolina, Greenville, Greenville;United States, North Carolina, Dallas, Dallas;United States, Georgia, Sumter, Americus;United States, Tennessee, Lawrence",http://vocab.getty.edu/page/tgn/2100022;http://vocab.getty.edu/page/tgn/2021698;http://vocab.getty.edu/page/tgn/2095244;http://vocab.getty.edu/page/tgn/2108056;http://vocab.getty.edu/page/tgn/1002492;http://vocab.getty.edu/page/tgn/1002244;http://vocab.getty.edu/page/tgn/1002966;http://vocab.getty.edu/page/tgn/1002709;http://vocab.getty.edu/page/tgn/7014143;http://vocab.getty.edu/page/tgn/7013503;http://vocab.getty.edu/page/tgn/7013294;http://vocab.getty.edu/page/tgn/2001886,1920,New Perfect Praise
1920-Highwa-MTS,"United States, Tennessee, Hamilton, Chattanooga;United States, Alabama, Jefferson, Bessemer;United States, Alabama, Elmore, Seman;United States, Virginia, Tazewell, Burkes Garden;United States, Alabama, DeKalb, Lebanon;United States, North Carolina, Burke, Morganton;United States, Alabama, Coosa, Rockford;United States, Alabama, Geneva, Coffee Springs;United States, Alabama, Calhoun, Wellington;United States, Arkansas, Nevada, Emmett;United States, Georgia, Carroll, Villa Rica;United States, Georgia, Spalding, Griffin;United States, Alabama, DeKalb, Fyffe;United States, Arkansas, Grant, Sheridan;United States, Alabama, Chilton, Verbena;United States, Arkansas, Columbia, Lamartine;United States, Arkansas, Faulkner, Mount Vernon;United States, Alabama, Lamar, Vernon;United States, Alabama, Walker, Oakman;United States, Alabama, Walker, Corona;United States, Alabama, Tuscaloosa, Northport;United States, Arkansas, Conway, Springfield;United States, Arkansas, White, Rose Bud;United States, Alabama, Winston, Haleyville;United States, Alabama, Coffee, Elba;United States, Alabama, Elmore, Titus;United States, Florida, Jackson, Graceville;United States, Alabama, DeKalb, Collinsville;United States, Alabama, Lamar, Millport;United States, Mississippi, Tippah, Blue Mountain;United States, Mississippi, Pontotoc, Pontotoc;United States, Georgia, Paulding;United States, Alabama, Tuscaloosa;United States, Texas, Dallas;United States, Oklahoma, Grady, Chickashaw;United States, Texas, Dallas, Dallas;United States, Alabama, DeKalb, Guest;United States, Alabama, Cullman;United States, Alabama, Marion;United States, Arkansas, Nevada;United States, Mississippi, Benton Co;United States, Alabama, Marion, Guin;United States, Georgia, Haralson, Bremen",http://vocab.getty.edu/page/tgn/7017496;http://vocab.getty.edu/page/tgn/2002637;http://vocab.getty.edu/page/tgn/2005256;http://vocab.getty.edu/page/tgn/2110882;http://vocab.getty.edu/page/tgn/2004184;http://vocab.getty.edu/page/tgn/2075761;http://vocab.getty.edu/page/tgn/2005120;http://vocab.getty.edu/page/tgn/2003142;http://vocab.getty.edu/page/tgn/2005724;http://vocab.getty.edu/page/tgn/2008187;http://vocab.getty.edu/page/tgn/2024623;http://vocab.getty.edu/page/tgn/2023068;http://vocab.getty.edu/page/tgn/2003606;http://vocab.getty.edu/page/tgn/2009492;http://vocab.getty.edu/page/tgn/2005639;http://vocab.getty.edu/page/tgn/2008685;http://vocab.getty.edu/page/tgn/2009009;http://vocab.getty.edu/page/tgn/2005641;http://vocab.getty.edu/page/tgn/2004744;http://vocab.getty.edu/page/tgn/2003189;http://vocab.getty.edu/page/tgn/2004718;http://vocab.getty.edu/page/tgn/2009551;http://vocab.getty.edu/page/tgn/2009401;http://vocab.getty.edu/page/tgn/2003764;http://vocab.getty.edu/page/tgn/2003387;http://vocab.getty.edu/page/tgn/2005515;http://vocab.getty.edu/page/tgn/2019478;http://vocab.getty.edu/page/tgn/2003154;http://vocab.getty.edu/page/tgn/2004459;http://vocab.getty.edu/page/tgn/2055991;http://vocab.getty.edu/page/tgn/2057270;http://vocab.getty.edu/page/tgn/2000401;http://vocab.getty.edu/page/tgn/2000062;http://vocab.getty.edu/page/tgn/1002315;http://vocab.getty.edu/page/tgn/2083003;http://vocab.getty.edu/page/tgn/7013503;http://vocab.getty.edu/page/tgn/2003738;http://vocab.getty.edu/page/tgn/2000021;http://vocab.getty.edu/page/tgn/2000046;http://vocab.getty.edu/page/tgn/2000154;http://vocab.getty.edu/page/tgn/2001090;http://vocab.getty.edu/page/tgn/2003739;http://vocab.getty.edu/page/tgn/2022244,1920,The Highway of Song
1920-Heaven-MTS,"United States, Georgia, Ware, Waycross",http://vocab.getty.edu/page/tgn/2024676,1920?,Heavenly Echoes No. 5
1918-Harves-MTS,"United States, Georgia, Fulton, Atlanta;United States, Alabama, Winston, Haleyville;United States, Georgia, Fulton, College Park;United States, Georgia, Whitfield, Dalton;United States, Georgia, Gordon, Curryville;United States, Georgia, Gordon, Calhoun;United States, Georgia, Cherokee, Canton;United States, Tennessee, Hamilton, Chattanooga;United States, Oklahoma, Seminole, Wewoka;United States, Tennessee, Lawrence;United States, West Virginia, Mercer",http://vocab.getty.edu/page/tgn/7013331;http://vocab.getty.edu/page/tgn/2003764;http://vocab.getty.edu/page/tgn/2022473;http://vocab.getty.edu/page/tgn/2022620;http://vocab.getty.edu/page/tgn/2022607;http://vocab.getty.edu/page/tgn/2022321;http://vocab.getty.edu/page/tgn/2022337;http://vocab.getty.edu/page/tgn/7017496;http://vocab.getty.edu/page/tgn/2084253;http://vocab.getty.edu/page/tgn/2001886;http://vocab.getty.edu/page/tgn/2002278,1920,Harvest Carols
1920-Evange-MTS,"United States, Tennessee, Carroll;United States, Arkansas, Pulaski, North Little Rock;United States, Georgia, Florida, Atlanta;United States, Louisiana, Caddo, Shreveport;United States, Tennessee, Sullivan, Bristol;United States, Tennessee, Knox, Knoxville;United States, North Carolina, Rowan, Mocksville;United States, Tennessee, Monroe, Tellico Plains;United States, Tennessee, Monroe, Vonore;United States, Tennessee, Dyer Co",http://vocab.getty.edu/page/tgn/2001845;http://vocab.getty.edu/page/tgn/2009067;http://vocab.getty.edu/page/tgn/7013331;http://vocab.getty.edu/page/tgn/7014504;http://vocab.getty.edu/page/tgn/2098111;http://vocab.getty.edu/page/tgn/7013841;http://vocab.getty.edu/page/tgn/7023506;http://vocab.getty.edu/page/tgn/2101781;http://vocab.getty.edu/page/tgn/2101975;http://vocab.getty.edu/page/tgn/2001859,1920,Evangel Light
1920-Bellso-MTS,"United States, Texas, Coleman, Trickham;United States, Texas, McLennan, Waco;United States, Tennessee, Shelby, Memphis;United States, Texas, Limestone, Thornton;United States, Texas, Comanche, Comanche;United States, Texas, Erath, Bluff Dale;United States, Texas, Lubbock;United States, Texas, Madison;United States, Texas, Garza;United States, Texas, Upshur",http://vocab.getty.edu/page/tgn/2108103;http://vocab.getty.edu/page/tgn/7014575;http://vocab.getty.edu/page/tgn/7017750;http://vocab.getty.edu/page/tgn/2108035;http://vocab.getty.edu/page/tgn/2103388;http://vocab.getty.edu/page/tgn/2102798;http://vocab.getty.edu/page/tgn/2002032;http://vocab.getty.edu/page/tgn/1002626;http://vocab.getty.edu/page/tgn/2001989;http://vocab.getty.edu/page/tgn/1002966,1920,Bells of Bethlehem
1919-Trutha-MTS,"United States, North Carolina, Caldwell, Hudson;United States, North Carolina, Jackson, Sylva;United States, North Carolina, Buncombe, Asheville;United States, North Carolina, Graham, Cheoah;United States, Georgia, Carroll, Villa Rica;United States, North Carolina, Watauga, Boone;United States, South Carolina, Greenville, Greenville;United States, Alabama, Madison, Huntsville;United States, North Carolina, Bladen, White Oak;United States, North Carolina, Caldwell, Granite Falls;United States, Tennessee, Jefferson, White Pine;United States, Georgia, Colbert, Ludville;United States, Mississippi, Jones, Laurel;United States, Alabama, Winston;United States, Alabama, Lauderdale;United States, Tennessee, Sevier;United States, Tennessee, Carter;United States, Tennessee, Lawrence;United States, Tennessee, Lauderdale;United States, Alabama, Cullman;United States, North Carolina, Caldwell, Hudson;United States, Alabama, Limestone, Athens;United States, Kentucky, Lincoln, Waynesburg;United States, Alabama, Jefferson;United States, Alabama, Limestone;United States, Alabama, Limestone, Ripley;United States, Tennessee, Sevier, Kodak;United States, Alabama, Lauderdale, Florence",http://vocab.getty.edu/page/tgn/2075179;http://vocab.getty.edu/page/tgn/2076870;http://vocab.getty.edu/page/tgn/7013325;http://vocab.getty.edu/page/tgn/2234433;http://vocab.getty.edu/page/tgn/2024623;http://vocab.getty.edu/page/tgn/2073774;http://vocab.getty.edu/page/tgn/7014143;http://vocab.getty.edu/page/tgn/7013732;http://vocab.getty.edu/page/tgn/2077184;http://vocab.getty.edu/page/tgn/2074840;http://vocab.getty.edu/page/tgn/2102095;http://vocab.getty.edu/page/tgn/7016285;http://vocab.getty.edu/page/tgn/7013873;http://vocab.getty.edu/page/tgn/2000066;http://vocab.getty.edu/page/tgn/2000038;http://vocab.getty.edu/page/tgn/2001914;http://vocab.getty.edu/page/tgn/2001846;http://vocab.getty.edu/page/tgn/2001886;http://vocab.getty.edu/page/tgn/2001885;http://vocab.getty.edu/page/tgn/2075179;http://vocab.getty.edu/page/tgn/2002521;http://vocab.getty.edu/page/tgn/2041857;http://vocab.getty.edu/page/tgn/2000036;http://vocab.getty.edu/page/tgn/2000041;http://vocab.getty.edu/page/tgn/2005093;http://vocab.getty.edu/page/tgn/2099947;http://vocab.getty.edu/page/tgn/7013767,1919,Truth and Hope
1919-Songso-MTS,"United States, Tennessee, Hamilton",http://vocab.getty.edu/page/tgn/2001869,1919,Songs of Revival Power
1919-Crowns-MTS,"United States, Tennessee, Hamilton, Chattanooga;United States, Alabama, Jefferson, Bessemer;United States, Alabama, Marshall, Albertville;United States, Virginia, Tazewell, Burkes Garden;United States, Alabama, DeKalb, Lebanon;United States, Arkansas, Nevada, Emmet;United States, Georgia, Coweta, Senoia;United States, Alabama, Calhoun, Wellington;United States, Georgia, Spalding, Griffin;United States, Alabama, Chilton, Thorsby;United States, Arkansas, Columbia, Lamartine;United States, Arkansas, Grant, Sheridan;United States, Florida, Bay, Panama City;United States, Alabama, Chilton, Jemison;United States, Alabama, Elmore, Seman;United States, Alabama, Walker, Corona;United States, Alabama, Fayette, Berry;United States, North Carolina, Burke, Morganton;United States, Alabama, Coosa, Rockford;United States, Arkansas, Faulkner, Mount Vernon;United States, Alabama, DeKalb, Fyffe;United States, Alabama, Lamar, Vernon;United States, Alabama, Coffee, Elba;United States, Alabama, Franklin, Russellville;United States, Alabama, Marion, Bear Creek;United States, Arkansas, White, Rose Bud;United States, Alabama, Lamar, Millport;United States, Arkansas, Cleburne, Quitman;United States, Alabama, Cullman;United States, Arkansas, Nevada;United States, Alabama, Etowah;United States, Alabama, DeKalb, Guest;United States, Mississippi, Benton Co;United States, Alabama, Marshall, Albertville",http://vocab.getty.edu/page/tgn/7017496;http://vocab.getty.edu/page/tgn/2002637;http://vocab.getty.edu/page/tgn/2002425;http://vocab.getty.edu/page/tgn/2110882;http://vocab.getty.edu/page/tgn/2004184;http://vocab.getty.edu/page/tgn/2008187;http://vocab.getty.edu/page/tgn/2024284;http://vocab.getty.edu/page/tgn/2005724;http://vocab.getty.edu/page/tgn/2023068;http://vocab.getty.edu/page/tgn/2005503;http://vocab.getty.edu/page/tgn/2008685;http://vocab.getty.edu/page/tgn/2009492;http://vocab.getty.edu/page/tgn/2020771;http://vocab.getty.edu/page/tgn/2004069;http://vocab.getty.edu/page/tgn/2005256;http://vocab.getty.edu/page/tgn/2003189;http://vocab.getty.edu/page/tgn/2002635;http://vocab.getty.edu/page/tgn/2075761;http://vocab.getty.edu/page/tgn/2005120;http://vocab.getty.edu/page/tgn/2009009;http://vocab.getty.edu/page/tgn/2003606;http://vocab.getty.edu/page/tgn/2005641;http://vocab.getty.edu/page/tgn/2003387;http://vocab.getty.edu/page/tgn/2005160;http://vocab.getty.edu/page/tgn/2002602;http://vocab.getty.edu/page/tgn/2009401;http://vocab.getty.edu/page/tgn/2004459;http://vocab.getty.edu/page/tgn/2000021;http://vocab.getty.edu/page/tgn/2000154;http://vocab.getty.edu/page/tgn/2000027;http://vocab.getty.edu/page/tgn/2003738;http://vocab.getty.edu/page/tgn/2001090;http://vocab.getty.edu/page/tgn/2002425,1919,Crowns of Love
1919-Carols-MTS,"United States, Tennessee, Shelby, Memphis;United States, Texas, McLennan, Waco;United States, North Carolina, Buncombe, Asheville;United States, Arizona, Maricopa, Phoenix;United States, Kentucky, Henry, Sulphur;United States, Texas, Comanche, Comanche;United States, Texas, Denton, Pilot Point;United States, Texas, Lubbock;United States, Texas, Upshur;United States, Texas, Madison",http://vocab.getty.edu/page/tgn/7017750;http://vocab.getty.edu/page/tgn/7014575;http://vocab.getty.edu/page/tgn/7013325;http://vocab.getty.edu/page/tgn/7013929;http://vocab.getty.edu/page/tgn/2041516;http://vocab.getty.edu/page/tgn/2103388;http://vocab.getty.edu/page/tgn/2106740;http://vocab.getty.edu/page/tgn/2002032;http://vocab.getty.edu/page/tgn/1002966;http://vocab.getty.edu/page/tgn/1002626,1919,Carols of Peace
1914-Victor-MTS,"United States, Georgia, Barrow, Bethlehem",http://vocab.getty.edu/page/tgn/2022169,1914?,Victory Bells
1918-Towner-MTS,"United States, Illinois, Cook, Chicago",http://vocab.getty.edu/page/tgn/7013596,1918,Towner's Male Quartettes
1919-Shinin-MTS,"United States, Mississippi, Lee, Tupelo;United States, Alabama, Colbert, Tuscumbia;United States, Georgia, Telfair, McRae;United States, Tennessee, Lawrence, Leoma;United States, Georgia, Wilcox, Rochelle;United States, Alabama, Franklin, Phil Campbell;United States, Alabama, Marshall, Albertville;United States, Texas, McLennan, Waco;United States, Georgia, Clarke, Athens;United States, Virginia, Tazewell, Burkes Garden;United States, Florida, Jackson, Graceville;United States, Georgia, Dodge, Empire;United States, Virginia, Rockingham, Linville;United States, Tennessee, Hamilton, Chattanooga;United States, Alabama, DeKalb, Lebanon;United States, Alabama, Calhoun, Wellington;United States, Louisiana, Caddo, Shreveport;United States, Mississippi, Tishomingo, Belmont;United States, North Carolina, Henderson, Horse Shoe;United States, Georgia, Seminole, Iron City;United States, Mississippi, Itawamba, Eastman;United States, Tennessee, Hawkins, Rogersville;United States, Tennessee, Lawrence;United States, Alabama, Elmore, Seman;United States, Oklahoma, Grady, Chickasha;United States, Texas, Smith, Mount Sylvan;United States, Mississippi, Lee, Tupelo;United States, Alabama, Colbert, Cherokee;United States, Mississippi, Monroe, Amory;United States, Texas, Dallas, Dallas;United States, Alabama, Colbert;United States, Oklahoma, Hughes;United States, Mississippi, Tishomingo;United States, Tennessee, McNairy",http://vocab.getty.edu/page/tgn/2057652;http://vocab.getty.edu/page/tgn/7013969;http://vocab.getty.edu/page/tgn/2023535;http://vocab.getty.edu/page/tgn/2100054;http://vocab.getty.edu/page/tgn/2024079;http://vocab.getty.edu/page/tgn/2004886;http://vocab.getty.edu/page/tgn/2002425;http://vocab.getty.edu/page/tgn/7014575;http://vocab.getty.edu/page/tgn/7013329;http://vocab.getty.edu/page/tgn/2110882;http://vocab.getty.edu/page/tgn/2019478;http://vocab.getty.edu/page/tgn/2022825;http://vocab.getty.edu/page/tgn/2112698;http://vocab.getty.edu/page/tgn/7017496;http://vocab.getty.edu/page/tgn/2004184;http://vocab.getty.edu/page/tgn/2005724;http://vocab.getty.edu/page/tgn/7014504;http://vocab.getty.edu/page/tgn/2055933;http://vocab.getty.edu/page/tgn/2075169;http://vocab.getty.edu/page/tgn/2023239;http://vocab.getty.edu/page/tgn/2309878;http://vocab.getty.edu/page/tgn/2101316;http://vocab.getty.edu/page/tgn/2001886;http://vocab.getty.edu/page/tgn/2005256;http://vocab.getty.edu/page/tgn/2083003;http://vocab.getty.edu/page/tgn/2106176;http://vocab.getty.edu/page/tgn/2057652;http://vocab.getty.edu/page/tgn/2003069;http://vocab.getty.edu/page/tgn/2055844;http://vocab.getty.edu/page/tgn/7013503;http://vocab.getty.edu/page/tgn/2000016;http://vocab.getty.edu/page/tgn/2001654;http://vocab.getty.edu/page/tgn/2001156;http://vocab.getty.edu/page/tgn/7022544,1918,Shining Gems for Jesus
